SusanS, 12, f, w, 12, utica, 2006

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
AY	1	NINETEEN	657.0	2002.0	25.824	25.818	25.877	0.059	41	4	4	2	4	4		s	649.0	2023.0	629.0	2069.0	611.0	2131.0	590.0	2124.0	567.0	2100.0	5	
IY	1	NINETEEN	561.0	2578.0	26.147	26.117	26.208	0.091	11	4	4	2	3	0			535.0	2477.0	567.0	2592.0	575.0	2631.0	483.0	2565.0	429.0	2487.0	4	
AY	1	I	957.0	1663.0	31.398	31.345	31.475	0.13	41	0	0	0	0	0		m	804.0	1545.0	939.0	1629.0	891.0	1691.0	827.0	1705.0	748.0	1593.0	5	
AH	0	WAS	505.0	1367.0	31.522	31.505	31.555	0.05	6	3	4	2	9	0			525.0	1383.0	505.0	1367.0	464.0	1337.0	428.0	1319.0	414.0	1326.0	5	
AO	1	BORN	612.0	830.0	31.747	31.704	31.834	0.13	64	6	4	2	1	3			555.0	840.0	615.0	832.0	630.0	913.0	622.0	1052.0	630.0	1229.0	6	
AH	0	IN	496.0	1707.0	32.141	32.104	32.214	0.11	6	4	4	2	0	0			599.0	1966.0	498.0	1698.0	541.0	1844.0	559.0	1887.0	554.0	1919.0	4	
AO	1	NORTH	636.0	1452.0	32.327	32.304	32.374	0.07	64	6	4	2	4	3			634.0	1437.0	636.0	1460.0	637.0	1516.0	634.0	1571.0	624.0	1594.0	6	
AY	1	CAROLINA	644.0	1603.0	32.766	32.734	32.844	0.11	41	4	4	2	7	1		m	636.0	1533.0	644.0	1614.0	626.0	1572.0	607.0	1545.0	584.0	1434.0	6	
AH	0	CAROLINA	592.0	1701.0	32.948	32.925	32.994	0.069	6	0	0	0	4	0			588.0	1726.0	593.0	1697.0	602.0	1659.0	623.0	1652.0	611.0	1690.0	5	
AE	1	JACKSONVILLE	626.0	1951.0	33.3	33.276	33.347	0.071	3	1	6	1	5	5			600.0	1948.0	629.0	1954.0	663.0	1980.0	685.0	2006.0	643.0	2024.0	5	
