BrianL, 20, M, W, 12, utica, 2006

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
AH	0	HELLO	706.0	1290.0	2.95	2.933	2.983	0.05	6	5	4	2	0	1			715.0	1310.0	706.0	1289.0	690.0	1246.0	673.0	1188.0	657.0	1144.0	5	
OW	1	HELLO	691.0	1203.0	3.076	3.063	3.192	0.129	63	0	0	0	7	0			688.0	1248.0	665.0	1239.0	610.0	1161.0	575.0	1076.0	527.0	1024.0	5	
AY	1	NINETEEN	802.0	2061.0	20.092	20.064	20.164	0.1	41	4	4	2	4	4		s	789.0	1993.0	794.0	2114.0	742.0	2224.0	662.0	2302.0	595.0	2314.0	5	
IY	1	NINETEEN	548.0	2325.0	20.243	20.223	20.283	0.06	11	4	4	2	3	0			704.0	2143.0	532.0	2344.0	426.0	2381.0	420.0	2383.0	406.0	2369.0	4	
EY	1	EIGHTY	525.0	2361.0	20.348	20.334	20.413	0.079	21	1	4	1	0	1			525.0	2361.0	515.0	2351.0	503.0	2335.0	494.0	2322.0	474.0	2303.0	5	
IY	0	EIGHTY	393.0	2360.0	20.463	20.443	20.503	0.06	12	0	0	0	3	0			393.0	2360.0	393.0	2360.0	415.0	2359.0	454.0	2362.0	514.0	2271.0	5	
IY	1	THREE	483.0	2126.0	20.656	20.633	20.703	0.07	12	0	0	0	8	0			481.0	2006.0	483.0	2137.0	474.0	2210.0	417.0	2251.0	611.0	2543.0	5	
AY	1	I	967.0	1482.0	26.145	26.102	26.213	0.111	41	0	0	0	0	0		m	848.0	1649.0	978.0	1538.0	913.0	1473.0	857.0	1462.0	750.0	1315.0	5	
AA	1	COLLEGE	900.0	1540.0	26.522	26.482	26.602	0.12	5	5	4	2	6	1			889.0	1688.0	902.0	1532.0	909.0	1478.0	901.0	1435.0	890.0	1397.0	4	
AE	1	YEAH	772.0	2047.0	27.331	27.298	27.398	0.1	3	0	0	0	9	0			723.0	2123.0	778.0	2036.0	815.0	1919.0	842.0	1772.0	853.0	1642.0	4	
AH	1	OTHER	817.0	1352.0	27.441	27.398	27.528	0.13	6	3	3	2	0	1			844.0	1415.0	813.0	1343.0	747.0	1269.0	672.0	1230.0	632.0	1280.0	4	
AE	1	THAT	762.0	1830.0	27.78	27.747	27.847	0.1	3	1	4	1	3	0			756.0	1807.0	763.0	1831.0	767.0	1760.0	765.0	1386.0	777.0	1090.0	5	
AO	1	NORTH	612.0	1207.0	31.977	31.944	32.044	0.1	64	6	4	2	4	3			570.0	1307.0	614.0	1186.0	606.0	1043.0	590.0	997.0	588.0	1073.0	5	
AH	0	UTICA	653.0	1539.0	32.47	32.433	32.543	0.11	6	0	0	0	6	0			641.0	1600.0	654.0	1535.0	680.0	1491.0	695.0	1478.0	681.0	1260.0	6	
AY	1	I	852.0	1614.0	32.798	32.713	32.884	0.171	41	0	0	0	0	0		m	873.0	1644.0	839.0	1660.0	852.0	1614.0	856.0	1579.0	810.0	1531.0	4	
EH	1	WEST	705.0	1568.0	33.2	33.183	33.233	0.05	2	3	4	1	9	3			707.0	1517.0	705.0	1568.0	695.0	1639.0	679.0	1520.0	665.0	1366.0	6	
EY	1	BABY	535.0	2166.0	33.926	33.914	34.073	0.159	21	1	1	2	1	1			523.0	2344.0	502.0	2381.0	480.0	2265.0	466.0	1918.0	454.0	2312.0	5	
IY	0	BABY	443.0	2355.0	34.147	34.114	34.214	0.1	12	0	0	0	1	0			418.0	2314.0	448.0	2364.0	482.0	2433.0	637.0	2424.0	1070.0	2173.0	5	
AW	1	BOUT	784.0	1258.0	36.594	36.584	36.684	0.1	42	1	4	1	1	0			792.0	1216.0	782.0	1144.0	759.0	1092.0	736.0	1070.0	706.0	1086.0	5	
IY	1	THREE	427.0	2186.0	36.927	36.904	36.974	0.07	12	0	0	0	8	0			433.0	2094.0	427.0	2195.0	437.0	2271.0	665.0	2445.0	1402.0	2890.0	5	
AO	1	NORTH	582.0	1442.0	42.948	42.928	42.988	0.06	64	6	4	2	4	3			560.0	1500.0	584.0	1434.0	590.0	1375.0	591.0	1333.0	591.0	1333.0	5	
UW	1	UTICA	430.0	2064.0	43.141	43.118	43.188	0.07	82	1	4	1	9	2			432.0	2112.0	429.0	2058.0	426.0	2028.0	423.0	1987.0	417.0	1954.0	5	
AH	0	UTICA	557.0	1844.0	43.297	43.277	43.337	0.06	6	0	0	0	6	0			537.0	1821.0	560.0	1861.0	584.0	2003.0	615.0	2168.0	624.0	2427.0	5	
ER	1	HERKIMER	541.0	1401.0	47.216	47.193	47.262	0.069	94	1	6	1	0	2			552.0	1366.0	540.0	1405.0	519.0	1451.0	499.0	1508.0	744.0	1539.0	5	
ER	0	HERKIMER	603.0	1312.0	47.435	47.412	47.482	0.07	94	0	0	0	2	0			596.0	1230.0	605.0	1328.0	614.0	1397.0	627.0	1470.0	636.0	1523.0	6	
UW	1	SCHOOL	452.0	869.0	48.126	48.083	48.212	0.129	72	5	4	2	6	0			449.0	885.0	453.0	867.0	457.0	863.0	468.0	873.0	475.0	877.0	6	
AY	1	HIGHSCHOOL	855.0	1487.0	50.679	50.669	50.748	0.079	47	3	4	1	0	4		s	851.0	1502.0	824.0	1521.0	801.0	1581.0	771.0	1659.0	733.0	1737.0	5	
AY	1	I	904.0	1572.0	56.657	56.597	56.728	0.131	41	0	0	0	0	0			1284.0	2407.0	886.0	1571.0	902.0	1598.0	885.0	1765.0	799.0	2004.0	4	
AE	1	GRADUATED	683.0	1850.0	56.908	56.888	56.947	0.059	3	2	5	2	8	2			675.0	1804.0	683.0	1857.0	683.0	1927.0	671.0	1993.0	648.0	2048.0	5	
AE	1	GRADUATE	711.0	2157.0	57.874	57.847	57.928	0.081	3	2	5	2	8	2			711.0	2148.0	709.0	2158.0	690.0	2146.0	655.0	2125.0	594.0	2131.0	3	
AH	0	IN	729.0	1470.0	58.737	58.717	58.776	0.059	6	4	4	2	0	0			721.0	1371.0	731.0	1483.0	739.0	1579.0	723.0	1664.0	711.0	1731.0	5	
AH	1	ANOTHER	724.0	1447.0	58.93	58.907	58.977	0.07	6	3	3	2	4	1			712.0	1495.0	723.0	1430.0	711.0	1345.0	677.0	1256.0	615.0	1222.0	4	
