ChuckO, 20, m, w, 12, Utica, 2006

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
AY	1	NINETEEN	814.0	1768.0	11.4	11.395	11.464	0.069	41	4	4	2	4	4		m	801.0	1799.0	755.0	1759.0	702.0	1626.0	638.0	1350.0	550.0	1038.0	6	
IY	0	SEVENTY	505.0	2263.0	11.891	11.874	11.924	0.05	12	0	0	0	4	0			508.0	2236.0	505.0	2266.0	501.0	2285.0	502.0	2300.0	512.0	2291.0	4	
AY	1	NINE	885.0	1724.0	12.035	12.004	12.114	0.11	41	4	4	2	4	0		s	877.0	1768.0	879.0	1707.0	868.0	1723.0	837.0	1802.0	725.0	1913.0	6	
OW	1	OH	787.0	1109.0	21.337	21.324	21.394	0.07	63	0	0	0	0	0			793.0	1104.0	825.0	1074.0	814.0	1037.0	793.0	997.0	771.0	983.0	6	
AY	1	I	848.0	1276.0	21.467	21.394	21.544	0.15	41	0	0	0	0	0			797.0	1039.0	826.0	1133.0	848.0	1295.0	811.0	1548.0	683.0	1855.0	4	
OW	1	DON'T	635.0	1333.0	21.622	21.604	21.733	0.129	62	4	4	2	3	0			696.0	1168.0	672.0	786.0	547.0	659.0	725.0	1343.0	757.0	2480.0	4	
UW	1	UTICA	441.0	1880.0	22.03	22.013	22.063	0.05	82	1	4	1	9	2			444.0	1891.0	441.0	1880.0	437.0	1852.0	429.0	1823.0	421.0	1785.0	6	
IY	0	UTICA	424.0	2541.0	22.11	22.093	22.143	0.05	11	1	6	1	3	1			408.0	2492.0	424.0	2541.0	952.0	2943.0	1569.0	3432.0	1901.0	3780.0	3	
AW	1	NOW	913.0	1623.0	22.353	22.303	22.533	0.23	42	0	0	0	4	0			909.0	1636.0	936.0	1498.0	943.0	1299.0	885.0	1169.0	788.0	989.0	5	
AY	1	I	788.0	1699.0	22.769	22.747	22.848	0.101	41	0	0	0	0	0		m	786.0	1690.0	761.0	1724.0	717.0	1761.0	662.0	1757.0	570.0	1679.0	5	
IH	1	LIVE	431.0	1566.0	22.978	22.928	23.077	0.149	1	3	2	2	7	0			525.0	1665.0	418.0	1551.0	327.0	1446.0	354.0	1480.0	454.0	1724.0	5	
AH	1	UH	818.0	1499.0	23.254	23.148	23.467	0.319	6	0	0	0	0	0			845.0	1494.0	815.0	1502.0	818.0	1500.0	800.0	1381.0	770.0	1192.0	6	
AY	1	I	746.0	1653.0	23.454	23.467	23.537	0.07	41	0	0	0	0	0		m	733.0	1703.0	709.0	1710.0	695.0	1703.0	677.0	1670.0	646.0	1618.0	4	
IH	1	ILION	546.0	1938.0	23.798	23.768	23.857	0.089	1	5	4	2	0	2			521.0	1922.0	548.0	1937.0	637.0	1944.0	674.0	1924.0	685.0	1842.0	4	
IY	0	ILION	558.0	2189.0	24.011	23.987	24.058	0.071	11	0	0	0	7	1			564.0	2007.0	557.0	2203.0	547.0	2273.0	549.0	2266.0	564.0	2257.0	4	
