SusanS, 20, f, w, 12, Utica, 2006

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
AY	1	NINETEEN	724.0	2068.2	2535.7	124.9	108.3	2301.5	25.824	25.818	25.877	0.059	41	4	4	2	4	4		s	715.0	2088.4	693.4	2132.7	673.0	2192.2	649.8	2185.5	625.1	2162.6	5	
IY	1	NINETEEN	617.8	2623.4	3402.6	169.0	398.5	733.3	26.147	26.117	26.208	0.091	11	4	4	2	3	0			589.9	2526.2	625.0	2637.0	634.1	2675.0	531.8	2611.2	472.3	2535.7	4	
AY	1	I	1055.7	1740.1	3132.6	412.2	126.8	284.5	31.398	31.345	31.475	0.13	41	0	0	0	0	0		m	886.4	1626.7	1036.2	1707.6	982.7	1767.3	912.3	1781.2	825.5	1673.0	5	
AH	0	WAS	556.5	1454.4	3404.9	198.7	98.6	65.1	31.522	31.505	31.555	0.05	6	3	4	2	9	0			578.2	1470.3	556.5	1454.4	510.7	1426.2	470.8	1408.8	455.4	1415.6	5	
AO	1	BORN	675.1	936.5	2899.5	227.4	271.0	473.9	31.747	31.704	31.834	0.13	64	6	4	2	1	3			611.1	946.4	677.7	938.5	694.3	1016.5	685.3	1151.1	694.5	1321.2	6	
AH	0	IN	546.4	1783.0	3318.0	116.3	342.6	615.4	32.141	32.104	32.214	0.11	6	4	4	2	0	0			660.5	2032.6	549.0	1774.4	596.3	1915.8	616.1	1957.0	610.3	1987.5	4	
AO	1	NORTH	701.3	1536.5	2290.6	56.3	179.9	243.9	32.327	32.304	32.374	0.07	64	6	4	2	4	3			698.7	1522.2	701.6	1544.3	702.2	1598.3	698.7	1651.3	687.6	1674.1	6	
AY	1	CAROLINA	710.5	1682.7	1817.2	155.6	302.2	358.5	32.766	32.734	32.844	0.11	41	4	4	2	7	1		m	701.5	1614.8	710.0	1692.9	690.3	1652.3	669.3	1626.4	643.5	1519.3	6	
AH	0	CAROLINA	652.6	1777.1	2304.7	101.2	100.2	1159.8	32.948	32.925	32.994	0.069	6	0	0	0	4	0			648.4	1801.3	653.2	1773.2	663.2	1736.5	687.2	1729.9	673.4	1766.5	5	
AE	1	JACKSONVILLE	690.0	2019.0	3013.8	109.4	134.4	553.5	33.3	33.276	33.347	0.071	3	1	6	1	5	5			661.5	2016.0	693.5	2021.0	731.3	2046.6	754.9	2072.1	708.9	2089.5	5	
AO	1	NORTH	638.9	1436.4	2493.8	80.0	82.0	555.4	33.739	33.716	33.786	0.07	64	6	4	2	4	3			634.0	1418.7	640.4	1440.3	644.9	1466.5	644.0	1503.7	633.9	1546.7	5	
AY	1	CAROLINA	724.1	1867.6	2114.2	237.0	116.5	2136.8	34.132	34.106	34.256	0.15	41	4	4	2	7	1		s	676.4	1557.3	702.9	1760.0	716.1	1911.2	682.6	2010.2	634.8	2084.9	5	
AY	1	I	829.4	1608.6	2107.7	213.2	411.7	245.5	34.64	34.645	34.724	0.079	41	0	0	0	0	0		m	780.7	1497.7	714.7	1447.2	658.4	1468.3	611.1	1460.3	574.8	1348.7	6	
EY	1	CAME	605.4	2813.0	3263.8	152.3	161.5	207.7	34.937	34.905	34.975	0.07	21	4	1	2	6	0			584.9	2808.6	600.8	2811.8	604.8	2812.1	592.1	2796.2	579.2	2717.1	4	
IH	1	HERE	606.3	2525.6	3067.2	139.7	167.3	1085.1	35.231	35.144	35.404	0.26	14	6	4	2	0	0			594.1	2620.3	613.0	2499.7	646.9	2167.1	656.5	2043.9	660.3	1913.2	5	
UW	1	TWO	528.9	1741.0	2619.3	121.7	173.1	1088.8	41.257	41.25	41.341	0.091	73	0	0	0	3	0			531.7	1666.7	546.7	1524.3	565.8	1346.9	584.1	1161.6	587.8	950.6	6	
AO	1	OR	622.0	942.0	2368.9	195.2	196.6	242.8	41.361	41.341	41.401	0.06	64	6	4	2	0	0			634.9	886.7	620.6	950.7	605.1	1044.9	600.6	1171.5	608.1	1273.6	6	
IY	1	THREE	640.7	2247.6	2700.6	211.9	151.4	288.0	41.67	41.65	41.71	0.06	12	0	0	0	8	0			627.6	2183.4	642.8	2255.2	661.8	2309.0	672.7	2339.7	672.2	2342.1	5	
ER	0	OR	601.0	1629.3	2265.4	125.0	183.7	178.2	42.184	42.164	42.224	0.06	94	0	0	0	0	0			589.4	1569.1	601.2	1636.3	587.6	1674.2	588.2	1687.2	601.2	1695.6	6	
AY	1	I	984.0	1673.6	3042.4	398.7	138.5	1248.6	45.181	45.146	45.266	0.12	41	0	0	0	0	0		s	930.6	1597.6	974.1	1727.1	894.4	1846.4	797.4	1910.5	723.4	1894.2	5	
IH	1	LIVE	607.7	1595.5	2433.4	102.9	90.9	1007.1	45.373	45.356	45.406	0.05	1	3	2	2	7	0			616.2	1600.9	607.7	1595.5	590.6	1573.6	576.6	1556.5	564.2	1548.5	6	
IY	1	EAST	530.6	2731.8	3229.5	143.4	151.4	278.2	45.582	45.555	45.635	0.08	11	3	4	1	0	3			559.7	2689.3	527.1	2733.7	486.8	2669.9	461.9	2426.7	451.4	2202.7	5	
AY	1	I'VE	835.5	1834.2	2757.0	106.5	177.1	370.3	46.019	45.956	46.095	0.139	41	3	2	2	0	0		m	787.9	1877.3	831.2	1859.6	834.2	1828.3	806.4	1822.0	779.3	1827.9	5	
AH	0	IN	569.4	1656.4	1987.7	76.9	120.8	1752.4	46.375	46.355	46.415	0.06	6	4	4	2	0	0			551.8	1668.8	571.4	1655.5	583.1	1648.9	595.5	1631.2	601.6	1615.8	6	
EY	1	SAME	610.6	2154.3	2430.6	47.3	143.3	1658.9	46.71	46.665	46.785	0.12	21	4	1	2	3	0			580.4	2023.7	610.1	2138.6	605.7	2255.3	598.8	2221.2	596.1	2100.4	6	
AA	1	PART	846.1	1576.6	2311.8	85.8	292.6	416.4	46.935	46.915	46.976	0.061	44	6	4	2	1	3			836.4	1590.7	847.0	1574.8	840.4	1577.1	820.7	1633.5	803.3	1668.9	6	
IY	1	EAST	571.2	2591.5	3295.5	285.6	193.8	500.6	47.226	47.196	47.286	0.09	11	3	4	1	0	3			562.2	2484.9	570.4	2595.3	539.8	2599.3	486.6	2563.8	425.6	2496.9	4	
UW	1	UTICA	439.9	1922.0	2575.9	80.1	175.1	186.2	47.463	47.446	47.496	0.05	82	1	4	1	9	2			436.9	1943.4	439.9	1922.0	442.4	1875.1	449.8	1839.2	462.6	1819.8	6	
AH	0	UTICA	729.6	1604.1	2648.3	66.7	202.7	512.2	47.653	47.616	47.726	0.11	6	1	6	1	3	1			682.3	1654.6	732.2	1601.6	754.7	1553.4	757.2	1518.6	758.0	1531.3	6	
AY	1	I	804.7	1648.3	2729.3	98.7	543.7	397.1	48.076	48.086	48.226	0.14	41	0	0	0	0	0			786.5	1711.7	788.4	1788.3	739.4	1947.8	641.6	2099.2	588.3	2292.8	5	
