AlexS, 20, M, W, 12, Utica, 2006

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
AY	1	NINETEEN	702.7	1672.6	2454.1	122.4	173.6	859.8	12.194	12.168	12.288	0.12	41	4	4	2	4	4			702.0	1660.4	688.9	1722.5	654.3	1846.3	602.6	2004.8	536.8	2157.7	4	
IY	1	NINETEEN	473.5	2388.5	2861.5	176.9	230.4	1566.7	12.45	12.407	12.537	0.13	11	4	4	2	3	0			438.9	2383.6	476.8	2387.5	489.9	2396.3	495.3	2352.2	510.3	2230.9	4	
EY	1	EIGHTY	597.4	2169.2	2672.4	140.2	195.4	396.8	12.604	12.567	12.728	0.161	21	1	4	1	0	1			594.5	2150.9	581.6	2218.3	540.5	2252.5	493.1	2281.1	482.1	2212.2	5	
AY	1	NINE	756.4	1633.3	2435.4	113.3	184.3	446.6	12.939	12.887	13.008	0.121	41	4	4	2	4	0		m	729.9	1614.9	750.0	1614.3	751.4	1659.9	723.7	1759.9	697.5	1886.1	4	
OW	1	NOPE	609.3	1326.2	2400.5	111.2	175.7	187.3	22.032	22.024	22.124	0.1	62	1	1	1	4	0			607.7	1253.0	586.9	1135.9	563.4	1039.7	544.7	960.5	494.6	877.7	5	
AY	1	LIFE	628.0	1300.9	2555.7	68.8	129.9	145.7	22.455	22.453	22.523	0.07	47	3	2	1	7	0			620.8	1401.0	607.4	1506.0	581.4	1628.0	554.0	1731.6	529.8	1790.9	4	
ER	1	KERNAN	601.4	1339.0	1752.4	101.5	286.2	328.0	26.336	26.29	26.429	0.139	94	4	4	2	6	1			583.8	1352.7	602.8	1332.8	626.3	1378.9	632.6	1503.2	626.6	1590.7	5	
AH	0	KERNAN	625.7	1710.2	2425.2	65.3	218.8	142.2	26.48	26.46	26.52	0.06	6	4	4	2	4	0			627.3	1709.1	625.5	1710.4	624.4	1709.6	624.1	1707.5	619.6	1671.3	6	
ER	1	KERNAN	610.3	1475.7	1824.0	160.3	610.8	436.5	26.949	26.929	26.989	0.06	94	4	4	2	6	1			602.8	1545.5	612.7	1472.8	629.0	1467.3	630.1	1465.2	618.8	1501.4	5	
AH	0	KERNAN	637.1	1540.0	2282.6	142.5	232.1	365.5	27.056	27.029	27.109	0.08	6	4	4	2	4	0			637.7	1546.1	637.1	1541.1	634.9	1562.5	631.8	1586.7	610.0	1414.7	6	
EH	1	ELEMENTARY	688.1	1441.0	2473.6	184.2	225.8	252.6	27.656	27.639	27.69	0.051	2	4	4	2	2	4			680.5	1387.1	689.1	1450.8	691.9	1513.4	691.7	1561.3	683.8	1590.0	5	
IY	0	ELEMENTARY	547.3	2040.2	3414.4	277.8	108.1	1505.2	27.899	27.869	27.96	0.091	12	0	0	0	7	0			511.1	1977.5	553.5	2049.0	680.6	2122.3	910.0	2244.2	998.4	2283.9	4	
AY	1	I'LL	777.7	1259.0	2572.2	194.2	344.4	499.9	33.629	33.596	33.677	0.081	41	5	4	2	0	0		m	898.6	1760.9	826.6	1404.2	710.5	1087.8	694.3	1069.2	667.0	1053.4	5	
IY	0	BE	455.1	2140.5	2642.3	175.4	141.9	354.9	33.823	33.797	33.876	0.079	12	0	0	0	1	0			446.5	2101.9	456.0	2140.2	451.1	2149.2	455.9	2144.1	458.5	2111.8	5	
