ChuckO, 20, M, W, 12, Utica, 2006

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
AY	1	NINETEEN	724.7	1668.0	2124.6	118.9	124.3	873.3	11.4	11.395	11.464	0.069	41	4	4	2	4	4		m	714.1	1693.4	677.5	1661.5	635.4	1554.4	584.7	1334.2	515.4	1084.5	6	
IY	0	SEVENTY	479.2	2064.6	2802.2	198.9	301.0	443.4	11.891	11.874	11.924	0.05	12	0	0	0	4	0			481.9	2042.7	479.3	2066.6	476.3	2081.9	476.6	2093.9	484.6	2086.9	4	
AY	1	NINE	781.2	1633.5	2249.3	125.9	132.5	553.1	12.035	12.004	12.114	0.11	41	4	4	2	4	0		s	774.6	1668.6	776.1	1619.7	767.6	1632.5	742.8	1695.7	653.6	1784.0	6	
OW	1	OH	703.0	1141.3	2106.6	107.0	129.5	1550.9	21.337	21.324	21.394	0.07	63	0	0	0	0	0			708.0	1137.2	733.7	1113.4	724.5	1083.4	708.0	1051.6	690.9	1040.1	6	
AY	1	I	752.0	1274.7	3445.4	114.5	118.5	505.2	21.467	21.394	21.544	0.15	41	0	0	0	0	0			711.4	1085.3	733.9	1160.1	751.8	1290.1	722.6	1492.5	620.5	1737.7	4	
OW	1	DON'T	582.4	1320.1	2710.2	79.3	255.3	464.8	21.622	21.604	21.733	0.129	62	4	4	2	3	0			631.2	1188.1	611.9	882.3	512.5	780.5	654.0	1328.4	679.4	2238.0	4	
UW	1	UTICA	428.7	1758.2	2426.9	57.8	116.2	117.3	22.03	22.013	22.063	0.05	82	1	4	1	9	2			430.6	1766.9	428.7	1758.2	425.0	1735.6	418.7	1712.6	412.8	1682.1	6	
IY	0	UTICA	415.3	2287.1		258.7	347.8		22.11	22.093	22.143	0.05	11	1	6	1	3	1			402.2	2248.0	415.3	2287.1	834.6	2608.8	1324.4	3000.2	1587.9	3278.4	3	
AW	1	NOW	803.6	1552.1	2456.6	92.1	78.0	639.2	22.353	22.303	22.533	0.23	42	0	0	0	4	0			800.3	1562.5	821.4	1451.9	826.8	1293.1	781.1	1189.2	704.4	1044.6	5	
AY	1	I	703.7	1612.9	2627.6	108.0	203.2	448.7	22.769	22.747	22.848	0.101	41	0	0	0	0	0		m	702.2	1605.9	683.0	1633.0	647.9	1662.4	604.0	1659.6	531.2	1597.1	5	
IH	1	LIVE	420.6	1507.0	2675.0	133.9	234.3	431.6	22.978	22.928	23.077	0.149	1	3	2	2	7	0			495.0	1586.0	410.1	1494.9	337.7	1410.4	359.2	1437.5	438.5	1633.3	5	
AH	1	UH	727.9	1453.1	1990.5	73.2	72.6	2347.2	23.254	23.148	23.467	0.319	6	0	0	0	0	0			749.7	1448.9	725.1	1455.3	728.1	1454.1	713.9	1358.3	690.1	1207.7	6	
AY	1	I	670.9	1576.1	2940.6	172.1	99.8	577.1	23.454	23.467	23.537	0.07	41	0	0	0	0	0		m	660.5	1615.9	641.4	1622.3	630.5	1616.0	615.8	1589.9	591.0	1548.1	4	
IH	1	ILION	511.7	1804.0	2879.1	339.7	230.7	290.5	23.798	23.768	23.857	0.089	1	5	4	2	0	2			492.2	1791.5	513.2	1803.8	583.8	1809.4	613.9	1792.9	622.3	1727.4	4	
IY	0	ILION	521.0	2005.0	2951.9	213.3	302.4	227.0	24.011	23.987	24.058	0.071	11	0	0	0	7	1			525.9	1859.3	520.3	2016.4	513.0	2072.5	513.8	2066.7	526.2	2059.4	4	
IH	1	LIVED	482.8	1553.6	2868.5	54.3	116.7	492.4	31.62	31.603	31.654	0.051	1	3	2	2	7	3			487.1	1535.3	482.0	1556.3	475.0	1568.9	466.2	1568.4	459.0	1549.6	4	
IH	1	IN	515.4	1753.1	2626.7	52.5	159.2	207.9	31.857	31.744	32.084	0.34	1	4	4	2	0	0			451.6	1760.2	524.3	1757.9	573.7	1767.1	576.4	1761.2	551.7	1700.9	5	
IY	1	EAST	361.4	2460.4	3663.7	266.1	389.2	469.2	33.283	33.236	33.376	0.14	11	3	4	1	0	3			350.0	2558.8	362.3	2463.2	372.5	2557.1	763.7	2661.8	2500.2	3478.2	3	
IY	0	THE	444.4	1970.2	2845.0	113.5	281.1	397.2	34.566	34.546	34.606	0.06	12	0	0	0	3	0			439.9	1962.9	445.1	1970.6	455.3	1971.9	484.2	1973.6	522.2	1956.4	4	
EH	1	AREA	595.3	1779.0	2622.2	115.3	300.6	477.6	34.626	34.606	34.667	0.061	2	6	4	2	0	2			590.2	1826.3	596.0	1774.7	601.8	1762.5	600.7	1757.6	591.7	1751.0	4	
IY	0	AREA	546.4	1893.4	2670.0	211.4	154.6	877.8	34.724	34.697	34.777	0.08	11	0	0	0	7	1			566.3	1868.0	545.2	1894.4	542.2	1862.9	559.1	1862.2	570.9	1848.5	4	
AY	1	RIGHT	650.8	1660.2	2218.7	144.5	104.0	214.7	35.188	35.176	35.286	0.11	47	1	4	1	7	0		s	634.2	1728.3	599.0	1809.8	560.2	1777.1	539.4	1552.8	508.9	1456.6	6	
AW	1	NOW	803.8	1604.9	2852.9	71.2	108.5	163.2	35.419	35.366	35.617	0.251	42	0	0	0	4	0			802.0	1613.8	818.0	1513.1	814.0	1339.9	789.3	1252.7	780.9	1305.3	4	
ER	1	FIRST	409.7	1448.9	1596.1	114.4	86.6	649.5	36.659	36.632	36.712	0.08	94	3	4	1	1	3			417.6	1422.6	410.4	1452.3	429.8	1492.3	461.8	1408.6	476.4	1319.5	6	
AO	1	BORN	561.7	803.4	1974.7	163.8	475.9	810.0	36.91	36.863	37.003	0.14	64	6	4	2	1	3			519.8	835.2	566.9	798.9	597.2	817.2	624.3	903.2	644.0	1044.2	6	
AE	1	AFTER	720.8	1788.3	2696.7	87.2	124.7	378.6	38.035	38.009	38.088	0.079	33	3	2	1	0	4			724.3	1777.6	718.8	1788.5	697.1	1778.8	655.0	1768.0	581.1	1732.9	4	
ER	0	AFTER	452.0	1587.5	2485.9	130.5	161.2	914.7	38.196	38.179	38.229	0.05	94	0	0	0	3	0			455.8	1577.9	452.0	1587.5	449.8	1594.7	452.9	1599.7	454.8	1601.1	5	
AE	1	THAT	716.7	1695.5	2525.4	77.5	101.7	276.6	38.349	38.269	38.508	0.239	3	1	4	1	3	0			673.2	1698.9	720.6	1694.9	734.6	1659.9	729.3	1611.4	704.8	1576.9	4	
AH	1	MOTHER	681.1	1244.5	3036.7	146.1	85.7	706.7	38.928	38.911	38.961	0.05	6	3	3	2	2	1			701.9	1236.5	681.1	1244.5	628.1	1253.3	572.9	1265.0	528.0	1278.4	4	
AA	1	FATHER	771.1	1255.9	2857.6	81.4	81.8	231.1	39.247	39.18	39.38	0.2	43	3	3	2	1	1			733.9	1257.7	773.1	1254.5	785.6	1264.1	795.3	1295.4	746.5	1322.4	4	
ER	0	FATHER	509.3	1562.3	2043.7	58.4	102.3	177.4	39.503	39.44	39.63	0.19	94	0	0	0	3	0			542.1	1554.1	505.4	1557.1	485.9	1545.5	478.3	1501.2	512.3	1483.3	6	
UW	1	TO	395.9	1886.8	2782.7	318.1	224.5	272.6	40.266	40.259	40.56	0.301	73	0	0	0	3	0			441.1	1792.8	475.8	1705.3	479.9	1410.7	480.1	1244.6	517.4	1157.8	4	
EH	1	CONNECTICUT	727.6	1768.8	2515.4	61.1	178.3	243.5	41.344	41.317	41.398	0.081	2	1	4	1	4	2			708.7	1793.6	728.6	1766.7	721.2	1743.8	677.7	1727.5	621.1	1699.6	5	
AH	0	CONNECTICUT	514.1	2079.6	2875.4	94.8	266.4	390.7	41.634	41.578	41.747	0.169	6	1	4	1	6	0			488.4	2079.8	517.4	2084.3	535.7	1988.2	541.3	1869.3	534.1	1770.9	4	
ER	0	FOR	491.7	1320.3	2330.7	163.2	149.2	1382.1	41.911	41.888	41.957	0.069	94	0	0	0	1	0			497.9	1420.9	492.2	1315.7	496.0	1290.6	493.0	1314.0	484.1	1336.9	5	
AW	1	ABOUT	669.2	1283.6	2725.7	102.2	97.8	201.2	42.061	42.037	42.197	0.16	42	1	4	1	1	0			691.0	1276.1	700.1	1255.8	677.3	1187.7	670.6	1273.7	589.5	1332.7	4	
UW	1	TWO	512.3	1455.3	2452.4	465.4	336.1	1136.6	42.466	42.457	42.558	0.101	73	0	0	0	3	0			444.9	1321.6	400.7	1072.2	399.5	1218.1	384.5	1403.2	362.2	1354.7	5	
ER	0	YEARS	442.0	1604.1	1761.1	104.2	168.7	326.4	42.828	42.758	42.967	0.209	94	3	4	2	9	0			446.8	1616.0	440.0	1601.9	431.1	1448.1	410.7	1417.4	400.9	1421.8	6	
AY	1	MY	705.7	1618.7	2606.2	148.5	122.6	416.5	44.051	44.036	44.086	0.05	41	0	0	0	2	0		s	701.3	1581.9	704.6	1629.0	680.0	1674.0	656.9	1729.7	646.6	1712.6	5	
EH	1	PARENTS	640.7	1678.4	2008.8	87.5	171.0	802.1	44.214	44.197	44.247	0.05	2	6	4	2	1	1			640.2	1682.6	640.7	1678.4	645.2	1669.2	647.6	1659.4	645.6	1653.6	6	
ER	0	WERE	456.1	1367.8	2257.7	192.5	203.7	757.4	44.499	44.476	44.546	0.07	94	0	0	0	9	0			459.0	1316.1	453.5	1379.3	476.5	1422.1	535.2	1505.2	634.7	1640.7	5	
AO	1	DIVORCED	571.3	941.6	2011.0	144.0	400.3	329.0	44.786	44.756	44.846	0.09	64	6	4	2	1	3			562.5	898.0	569.1	948.4	551.5	1050.8	536.6	1109.6	524.7	1167.8	6	
