ChristieL, 20, F, w, 12, Utica, 2006

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
AY	1	NINETEEN	800.0	1986.1	3205.4	120.9	473.0	732.4	4.618	4.598	4.669	0.071	41	4	4	2	4	4			793.8	1882.0	796.1	2079.2	772.1	2216.4	737.0	2355.9	688.0	2498.3	4	
IY	1	NINETEEN	469.8	2620.0	3621.0	437.8	250.7	2255.7	4.809	4.789	4.849	0.06	11	4	4	2	3	0			801.3	2520.1	454.2	2631.7	490.8	2684.5	506.0	2683.1	519.8	2689.0	4	
IY	0	EIGHTY	528.5	2462.9	2826.3	151.4	511.0	143.8	5.098	5.068	5.158	0.09	12	0	0	0	3	0			536.9	2389.2	528.9	2481.4	545.0	2560.7	532.7	2595.5	514.2	2641.6	5	
EY	1	EIGHT	554.0	2677.7	3184.7	93.4	248.5	2863.4	5.193	5.158	5.228	0.07	21	1	4	1	0	0			492.6	2699.9	515.4	2686.7	554.0	2677.7	583.8	2674.9	591.9	2669.3	4	
EH	1	YES	648.6	2147.0	3021.3	57.5	248.0	1931.3	13.63	13.583	13.724	0.141	2	3	4	1	9	0			540.7	2217.0	657.5	2143.8	707.4	2084.0	724.0	1813.9	757.8	1880.2	4	
EH	1	WEST	719.2	1677.7	2876.8	51.8	690.8	1227.6	16.308	16.291	16.341	0.05	2	3	4	1	9	3			719.0	1547.1	719.2	1677.7	717.4	1763.8	710.3	1768.7	699.6	1784.4	5	
AH	0	UTICA	643.8	1304.7	2556.3	66.8	654.6	1197.7	16.69	16.67	16.73	0.06	6	0	0	0	6	0			633.5	1363.2	644.2	1296.8	643.7	1323.0	640.0	1416.2	641.8	1468.2	5	
AE	1	YEAH	660.1	2202.3	3120.1	27.9	174.2	272.0	20.011	19.955	20.124	0.169	3	0	0	0	9	0			600.1	2343.4	663.9	2177.1	682.7	2049.8	717.3	1914.6	833.0	1793.5	5	
IH	1	LIVED	570.0	1675.9	3094.4	29.6	539.1	601.6	25.623	25.593	25.683	0.09	1	3	2	2	7	3			568.9	1772.0	570.4	1664.4	574.0	1426.7	577.3	1354.5	566.0	1354.0	4	
IY	1	EAST	396.1	2715.9	4263.8	101.7	124.7	729.8	25.989	25.942	26.082	0.14	11	3	4	1	0	3			409.0	2803.7	390.4	2710.4	353.6	2680.7	354.6	2671.4	369.3	2560.4	3	
AH	0	UTICA	592.9	1865.2	2671.3	41.7	1227.4	244.0	26.349	26.332	26.382	0.05	6	1	6	1	3	1			593.7	1873.2	592.9	1865.2	583.9	1804.2	564.1	1705.4	547.1	1655.4	4	
AH	0	UTICA	740.8	1435.4	3098.3	261.6	221.4	419.0	26.559	26.462	26.753	0.291	6	0	0	0	6	0			627.7	1409.3	722.0	1414.9	740.7	1397.7	740.7	1318.7	717.6	1338.7	4	
AY	1	I	868.7	1617.2	2995.5	158.1	718.0	937.9	27.022	26.942	27.102	0.16	41	0	0	0	0	0		s	844.3	1679.3	857.0	1566.3	868.7	1617.2	836.2	1809.2	743.8	1683.6	4	
AH	1	WAS	652.2	1419.0	2967.6	81.3	1107.8	1448.3	27.262	27.202	27.382	0.18	6	3	4	2	9	0			651.7	1393.5	652.7	1484.8	597.9	1500.0	600.4	1624.4	572.7	1656.4	5	
EY	1	EIGHT	699.4	2514.7	3373.5	347.2	700.5	1165.0	28.664	28.635	28.796	0.161	21	1	4	1	0	0			614.0	2459.5	530.6	2424.0	522.7	2479.1	533.0	2351.9	516.7	2246.1	4	
AY	1	NINE	883.1	1653.5	2360.7	193.8	175.8	1398.1	28.985	28.946	29.165	0.219	41	4	4	2	4	0			861.5	1022.7	835.6	865.8	735.7	939.2	622.5	797.3	471.6	896.2	6	
AY	1	I	769.4	1594.9	1986.2	190.6	575.5	610.5	30.269	30.246	30.325	0.079	41	0	0	0	0	0		m	748.4	1644.2	759.9	1584.7	769.3	1593.3	757.2	1539.6	716.0	1440.9	6	
AY	1	LIVED	649.8	1712.4	2898.9	75.4	541.0	1524.0	30.464	30.406	30.615	0.209	41	3	2	2	7	3		s	641.1	1657.3	648.7	1740.4	648.8	1892.4	643.0	1727.8	639.8	1693.6	5	
AE	1	AND	822.0	1657.6	2408.9	476.9	667.0	1212.3	31.069	31.045	31.116	0.071	3	4	4	2	0	3			869.0	1516.9	812.7	1673.3	740.5	1842.3	662.9	1822.2	635.8	1667.4	5	
AH	0	IT	641.3	1575.5	2048.5	172.3	1663.5	349.6	31.345	31.325	31.386	0.061	6	1	4	1	0	0			629.1	1590.1	643.1	1565.0	657.6	1731.9	653.4	1523.8	629.5	1157.1	6	
IY	1	EAST	523.1	2981.6	3754.3	318.7	133.5	752.4	32.237	32.207	32.296	0.089	11	3	4	1	0	3			621.5	3165.3	525.0	2979.6	513.5	2940.7	494.4	2937.7	472.1	2940.7	3	
EH	1	WEST	729.4	1644.0	3422.8	144.1	343.1	679.8	32.723	32.706	32.757	0.051	2	3	4	1	9	3			748.9	1599.8	724.1	1653.1	685.8	1689.4	645.0	1726.2	619.0	1752.4	4	
AH	1	COLUMBUS	673.1	1071.8	2330.8	231.9	220.9	333.4	35.955	35.935	35.995	0.06	6	4	1	2	7	4			666.3	1049.8	672.8	1074.5	666.9	1079.1	656.9	1065.7	646.5	1042.8	6	
AE	1	ACADEMY	668.5	2115.6	3043.7	44.2	202.2	178.7	39.075	39.048	39.129	0.081	3	1	4	2	6	2			663.5	2152.3	668.7	2112.5	666.2	2087.1	650.7	2056.0	620.6	1996.6	5	
IH	1	HERE	559.7	2360.3	2928.3	88.4	229.4	210.1	44.418	44.394	44.465	0.071	14	6	4	2	0	0			524.7	2368.3	564.9	2356.3	624.3	2334.9	657.1	2347.4	660.7	2280.1	5	
AA	1	MOM	874.2	1431.4	3462.1	145.9	105.8	485.3	46.827	46.797	46.887	0.09	5	4	1	2	2	0			906.3	1404.4	873.0	1433.4	855.7	1444.7	848.6	1420.6	853.8	1288.6	4	
AO	1	BORN	560.8	1018.7	3168.1	90.1	339.4	249.6	47.159	47.136	47.206	0.07	64	6	4	2	1	3			563.3	977.3	561.7	1025.1	582.3	1047.3	669.8	1081.3	737.1	1157.5	4	
AH	0	FLORIDA	755.1	1355.0	3047.6	116.6	719.3	213.8	47.73	47.697	47.796	0.099	6	0	0	0	3	0			720.8	1385.6	760.1	1333.3	777.4	1132.1	747.8	1017.9	670.5	1133.1	5	
