ChristieL, 20, F, W, 12, Utica, 2006

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
AY	1	NINETEEN	772.0	1920.0	4.618	4.598	4.669	0.071	41	4	4	2	4	4			765.0	1825.0	768.0	2006.0	740.0	2131.0	698.0	2259.0	641.0	2389.0	4	
IY	1	NINETEEN	385.0	2500.0	4.809	4.789	4.849	0.06	11	4	4	2	3	0			774.0	2409.0	367.0	2511.0	410.0	2559.0	428.0	2558.0	444.0	2563.0	4	
IY	0	EIGHTY	454.0	2356.0	5.098	5.068	5.158	0.09	12	0	0	0	3	0			464.0	2289.0	455.0	2373.0	473.0	2446.0	459.0	2478.0	437.0	2520.0	5	
EY	1	EIGHT	484.0	2553.0	5.193	5.158	5.228	0.07	21	1	4	1	0	0			412.0	2573.0	439.0	2561.0	484.0	2553.0	519.0	2550.0	528.0	2545.0	4	
EH	1	YES	595.0	2068.0	13.63	13.583	13.724	0.141	2	3	4	1	9	0			468.0	2132.0	605.0	2065.0	664.0	2010.0	683.0	1763.0	723.0	1824.0	4	
EH	1	WEST	678.0	1638.0	16.308	16.291	16.341	0.05	2	3	4	1	9	3			677.0	1519.0	678.0	1638.0	676.0	1717.0	667.0	1722.0	655.0	1736.0	5	
AH	0	UTICA	589.0	1297.0	16.69	16.67	16.73	0.06	6	0	0	0	6	0			577.0	1351.0	590.0	1290.0	589.0	1314.0	585.0	1399.0	587.0	1447.0	5	
AE	1	YEAH	608.0	2118.0	20.011	19.955	20.124	0.169	3	0	0	0	9	0			538.0	2247.0	613.0	2095.0	635.0	1979.0	675.0	1855.0	811.0	1744.0	5	
IH	1	LIVED	503.0	1637.0	25.623	25.593	25.683	0.09	1	3	2	2	7	3			502.0	1725.0	503.0	1626.0	507.0	1409.0	511.0	1343.0	498.0	1342.0	4	
IY	1	EAST	299.0	2588.0	25.989	25.942	26.082	0.14	11	3	4	1	0	3			314.0	2668.0	292.0	2583.0	249.0	2556.0	250.0	2547.0	267.0	2446.0	3	
AH	0	UTICA	530.0	1810.0	26.349	26.332	26.382	0.05	6	1	6	1	3	1			530.0	1817.0	530.0	1810.0	519.0	1754.0	496.0	1664.0	476.0	1618.0	4	
AH	0	UTICA	703.0	1417.0	26.559	26.462	26.753	0.291	6	0	0	0	6	0			570.0	1393.0	681.0	1398.0	703.0	1382.0	703.0	1310.0	676.0	1328.0	4	
AY	1	I	853.0	1583.0	27.022	26.942	27.102	0.16	41	0	0	0	0	0		s	824.0	1640.0	839.0	1537.0	853.0	1583.0	815.0	1759.0	707.0	1644.0	4	
AH	1	WAS	599.0	1402.0	27.262	27.202	27.382	0.18	6	3	4	2	9	0			599.0	1379.0	600.0	1462.0	535.0	1476.0	538.0	1590.0	506.0	1619.0	5	
EY	1	EIGHT	654.0	2404.0	28.664	28.635	28.796	0.161	21	1	4	1	0	0			554.0	2353.0	457.0	2321.0	447.0	2371.0	459.0	2255.0	440.0	2158.0	4	
AY	1	NINE	870.0	1616.0	28.985	28.946	29.165	0.219	41	4	4	2	4	0			845.0	1040.0	814.0	896.0	697.0	963.0	564.0	833.0	387.0	924.0	6	
AY	1	I	737.0	1563.0	30.269	30.246	30.325	0.079	41	0	0	0	0	0		m	712.0	1608.0	725.0	1553.0	736.0	1561.0	722.0	1512.0	674.0	1422.0	6	
