age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
												EH	0		HELLO		795	1619.2	3003.4	109.3	93.7	973.1	3.925	3.905	3.965	0.06	2	5	4	2	0	1										795.1	1629.1	794.7	1617.7	791.1	1600.6	785.4	1583	779.6	1565.9	5
												EY	1		EIGHTY		899.6	2059.5	3506.3	507.6	257.3	357	16.465	16.453	16.554	0.101	21	1	4	1	0	1										880.5	2099.1	878.1	2191.8	869.2	2323.7	816.9	2470.3	745.5	2543.8	4
												IY	0		EIGHTY		612.3	2770	3214.5	196.1	185.8	794.6	16.784	16.724	16.904	0.18	12	0	0	0	3	0										690.3	2773.8	603.1	2760.1	556.3	2242.1	492.4	2232.4	542.5	2636.5	4
												IH	1		SIX		749.1	1997.3	2863.2	99.4	192.3	385.7	17.033	17.013	17.074	0.061	1	1	6	1	3	3										726.2	1950.8	750.8	2001.3	763.2	2016.7	770.2	2033.3	757.2	2075.1	5
												EH	1		YEP		846.3	2032.9	3022.9	68	151.8	197.8	23.312	23.285	23.366	0.081	2	1	1	1	9	0										823.7	2095.5	847.7	2028.5	859.1	1973	859	1864	720.4	1785.3	4
												AY	1		I		767.7	1744.1	2667.1	65.1	128.3	139.3	23.459	23.446	23.596	0.15	41	0	0	0	0	0										753.4	1899.6	720	2096.3	655.4	2250.4	549.5	2326.7	479.5	2258.8	5
												UW	1		MOVED		560.5	1434.4	2490	160	449.5	725.7	24.312	24.225	24.486	0.261	72	3	2	2	2	3										631	1653.6	550.9	1415.9	514.3	1418.2	500.1	1344.3	531.4	1556.9	5
												AH	1		UM		863.9	1482.3	1765.5	138.7	262.4	316.5	24.813	24.696	25.046	0.35	6	4	1	2	0	0										822.5	1661.4	866.2	1479.1	835.9	1547.9	818.7	1539.3	802.5	1522.9	6
												AE	1		LAST		887	1731	2893.3	115.7	151.8	528.2	25.409	25.376	25.476	0.1	3	3	4	1	7	0										888.2	1704.7	885.7	1737.4	875.3	1785.8	850	1771.2	808.2	1745.6	4
												AA	1		AUGUST		847.3	1501.2	2896.9	142	186.3	348.2	25.596	25.546	25.696	0.15	5	1	6	2	0	1										758.4	1552.2	856.9	1495.2	898.7	1425.8	876.6	1494.9	775.9	1632.3	5
												AH	0		AUGUST		738.7	1973.6	2715.5	136.3	205.5	285.5	25.763	25.736	25.816	0.08	6	3	4	1	6	3										700	2002.2	739.4	1969	743	1944.3	729.7	1946.8	691.8	1869.4	5
												AY	1		I		723.2	1877	2865.7	83.9	101.1	165.8	26.439	26.419	26.539	0.12	41	0	0	0	0	0										721.9	1915.9	683.8	2098.1	650.6	2233.8	620.6	2307.6	602.1	2259.3	5
												AH	0		TO		649.3	1443.1	2454.9	129.7	194.1	132.4	26.742	26.689	26.849	0.16	6	0	0	0	3	0										647.7	1325.7	648.5	1467.1	630.6	1658.7	618.3	1608	505.5	1760.4	6
												IY	2		SUNY		581	2369.5	2940.9	104.9	175.6	279.1	27.439	27.409	27.499	0.09	12	0	0	0	4	0										588.5	2287.3	580.4	2374.8	573.5	2408.6	546.1	2296.6	762.8	2285.3	4
												AW	1		SOUTH		813.7	1705.7	2798.8	105.7	125	1556.6	33.546	33.511	33.651	0.14	42	3	3	1	3	0										778.9	1711.7	900.9	1691.4	952.9	1591.3	921.3	1498.2	898.5	1586.2	5
												OW	1		JONES		738.9	1661.3	2610.9	166.1	236.5	371.4	39.846	39.831	39.891	0.06	62	4	4	2	5	3										726.8	1692.4	755.7	1587.4	770.7	1498.9	794.3	1443.1	843	1430.9	5
												AH	1		UH		887.1	1606.8	2799.3	234.5	239.7	600.7	41.896	41.866	41.956	0.09	6	0	0	0	0	0										909.5	1650.8	885.6	1601.9	871.1	1554.9	844.2	1526.1	834.1	1457	5
												AA	1		PROCTOR		874.7	1691.9	2382.9	134	249.1	330.4	42.103	42.086	42.136	0.05	5	1	6	1	8	4										865	1691.5	874.7	1691.9	885.8	1692.3	890	1702.7	887.2	1738.2	5
												AY	1		HIGH		869.3	1933.5	2584	439.1	452.4	375.1	42.353	42.366	42.416	0.05	41	0	0	0	0	0		s								796.3	2038	815.5	2111.1	846.6	2135.2	886.1	2128	929.8	2135.9	6
												EH	2		EDUCATION		674.4	1770.2	2953.1	192.6	209.5	279.8	47.902	47.879	47.949	0.07	2	2	5	2	0	2										688.3	1715	669.9	1779.1	644.3	1826.3	619.2	1888	556.3	1980.8	4
												EY	1		EDUCATION		669.3	2292.6	2945.9	552.8	699.7	295.2	48.122	48.109	48.199	0.09	21	3	5	1	6	1										627.2	2173.7	559.2	1765.4	563.4	1638.7	558.1	1532.7	737	1843.3	5
												AY	1		MY		833.7	1818.8	2522.7	103.9	144.3	948.2	52.063	52.054	52.114	0.06	41	0	0	0	2	0		m								832.2	1835.1	821.4	1871.8	701.9	1593.2	558.2	1254	556.4	1259.3	6
												ER	1		FIRST		616.3	1870.8	2231.4	131.5	188.3	313.4	52.211	52.184	52.264	0.08	94	3	4	1	1	3										608.3	1841.7	615.9	1871.1	602	1857.3	586.3	1869.8	574.8	1927.1	5
												IH	1		YEAR		622.8	2176.4	2665.6	105.3	292.1	388.4	52.397	52.373	52.444	0.071	14	6	4	2	9	0										584.2	2215.1	626.8	2173.7	666.1	2127.8	684.5	2074.2	699.3	2037.1	4
												AH	1		UM		954	1479.5	1854.5	232.7	159.2	1129.2	57.141	57.031	57.361	0.33	6	4	1	2	0	0										933	1468.3	955.3	1480	910.8	1488.9	893.6	1495.8	874.6	1501.6	6
												AH	0		PHYSICAL		583.3	1323.7	2672	188.5	211.4	437.1	57.981	57.961	58.021	0.06	6	5	4	2	6	0										634	1345.5	579.9	1322.5	607.2	1303.4	642.2	1262.4	657.4	1204.6	5
												EY	1		EDUCATION		481.1	2764.2	3107.9	106.5	371.9	449	58.358	58.331	58.41	0.079	21	3	5	1	6	1										477	2601.5	481.1	2772.5	479.6	2848.3	471.1	2586.5	446.1	1801.8	5
												EY	1		MAJOR		573.3	2902.8	3285.7	105.3	237	323.1	58.634	58.621	58.741	0.12	21	2	5	2	2	1										565.2	2959.7	546.6	2955.9	535.3	2860.7	524.3	2723.8	504.5	2596.4	5
												ER	0		MAJOR		599.5	1964.5	2304.2	48.1	237.5	490.7	58.924	58.841	59.091	0.25	94	0	0	0	5	0										585	1908.7	601.8	1976.8	617.6	2062.8	624	1920.1	732	2073.2	5
												IH	1		IT'S		647.6	2228.7	3051.9	61	264	310.1	59.285	59.268	59.318	0.05	1	1	4	1	0	3										654.6	2234.2	647.6	2228.7	635.3	2213.4	618.4	2158.8	598.7	2137.6	5
												AH	0		GOOD		662.6	1741.4	2718.4	64.5	141.7	199.6	59.538	59.508	59.598	0.09	6	1	4	2	6	0										622	1766.7	664.8	1739	696.9	1741	717.9	1776.4	708.4	1792.3	5
												AH	1		UH		832.2	1587.5	2901.3	56.1	149.7	274.3	59.698	59.638	59.818	0.18	6	0	0	0	0	0										809.5	1692.3	834.9	1580	847.3	1550.8	857.7	1566.9	864.5	1577.7	5
												EH	1		RESUME		828.8	1853.1	2751.8	50.2	125	179.1	60.444	60.421	60.491	0.07	2	3	4	2	7	2										836.2	1840.5	826.5	1856.5	811.1	1873.9	789.2	1885.6	756.6	1834.2	5
												AE	1		AND		781.3	2335.5	2975.3	86.4	164.3	249.7	60.707	60.681	60.76	0.079	3	4	4	2	0	3										783.9	2273.5	782.3	2347.8	783.8	2406.2	771.7	2459.6	759.1	2481.3	5
												AY	1		I		831.3	1934.9	2933.4	74.8	141.1	610.6	61.075	61.051	61.19	0.139	41	0	0	0	0	0		s								830.5	1952.7	815.7	2038.9	769.1	2134.6	637.1	2198	390.2	1877.7	5
												AY	1		LIKE		760	1692.4	3038	79.8	140.8	282.8	61.359	61.361	61.421	0.06	47	1	6	1	7	0										722.9	1865.3	666.5	1983.9	613.1	2126.4	583.9	2243.6	520.8	2191.2	5
												AW	1		OUTSIDE		744.9	1920.2	2663.7	82.2	132.9	167.2	61.62	61.601	61.68	0.079	42	1	4	1	0	4										735.3	1950.8	755	1819.9	755.9	1731	746.5	1686.6	688.3	1661.2	5
												AY	1		OUTSIDE		849.8	1752	2875.7	84.2	177.8	246.1	61.836	61.761	61.94	0.179	41	1	4	2	3	0										778.5	1643.1	840.5	1700	831.8	1819.9	779.3	1987.4	721.8	2070.4	5
												AY	1		I		836.5	1932.7	3103.9	145.7	138.2	218.4	62.121	62.131	62.231	0.1	41	0	0	0	0	0		s								835.4	1913.4	821.1	1976	788.8	2043	735.2	2206.2	631.9	2289.5	4
												AY	1		I		883.8	2060.6	3019.7	135.6	141.1	305	62.505	62.5	62.56	0.06	41	0	0	0	0	0										871.2	2088.4	841.9	2160.3	800	2239.6	744.1	2314.1	683.5	2340.8	4
												AH	0		NEEDED		555.5	2333.3	3022	145.4	84.4	180.2	62.707	62.69	62.74	0.05	6	1	4	2	3	0										549.5	2348.4	555.5	2333.3	565.1	2289	557.9	2235.4	549.2	2185.1	5
												IH	1		KIDS		690.7	2174.3	2936.2	118.4	144	226.7	63.236	63.199	63.31	0.111	1	1	4	2	6	3										636.9	2163	697.2	2172.5	718.9	2151.8	710.5	2122.9	648.3	2069.7	4
												OW	1		SO		741.7	1589.7	2780.2	70.9	168.5	232.4	63.525	63.5	63.629	0.129	63	0	0	0	3	0										744.6	1586.9	769.7	1546.8	761.3	1472.9	738.3	1392	735.6	1299.2	5
												AH	0		JUST		648.7	1981.6	3145.7	410.9	636.9	515.2	64.271	64.254	64.305	0.051	6	3	4	1	5	3										756	2015.2	621.8	1969.3	530.2	1934	534.9	1948	524.8	1932.5	5
												AO	1		ALL		885.9	1448.8	2803.5	72.5	246.1	563.7	64.555	64.505	64.655	0.15	53	5	4	2	0	0										854.5	1514.7	887.8	1441.1	894.4	1402.2	884.1	1328.6	875.6	1298.2	5
												EY	1		PLACE		630.5	1849.9	2795.1	75.8	121.9	2544.3	65.635	65.623	65.723	0.1	21	3	4	1	8	0										618.4	1937.3	594.7	2078.9	576.4	2199.2	566.4	2061	564.3	1968.9	5
												AH	1		UM		906.5	1432	1921.2	51.4	87.1	643.3	68.716	68.643	68.863	0.22	6	4	1	2	0	0										917	1460	905.8	1433.3	899.7	1447	894	1423.8	888.2	1421.2	6
												AY	1		I		919.3	1517.4	2003.5	86.6	86.6	926.9	68.964	68.943	69.073	0.13	41	0	0	0	0	0										918.5	1554.7	914.7	1728	888.9	1836.7	787.7	1796	686.6	1480.4	6
												ER	1		WORKED		585.4	1520.8	2115.1	125.9	227.5	246.9	69.14	69.123	69.173	0.05	94	1	6	1	9	3										600.5	1471.3	585.4	1520.8	551.1	1612.1	517.8	1689.5	488.2	1762.1	5
												UW	1		YOUTH		468.6	2146.8	2734.8	58.4	136	680.9	69.499	69.482	69.533	0.051	72	3	3	1	9	0										468.7	2162.8	468.6	2141.9	467.9	2112.6	467.7	2103.3	453.3	2093.3	5
