vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
AY	1	NINETEEN	693.9	1787.6	2663.1	114.6	105.1	390.5	20.092	20.064	20.164	0.1	41	4	4	2	4	4		s	683.3	1737.2	687.4	1827.1	645.3	1908.1	580.7	1965.8	526.2	1974.8	5		706	1796	2716	41.44242	1	nineteen	20.0918
EY	1	EIGHTY	469.5	2009.3	2689.2	99.9	68.9	978.9	20.348	20.334	20.413	0.079	21	1	4	1	0	1			469.3	2009.1	461.1	2001.7	451.7	1990.4	444.5	1980.6	428.2	1966.2	5		465	2006	2799	21.14101	1	eighty	20.3596
IY	1	THREE	435.4	1835.4	2355.8	125.9	195.5	785.1	20.656	20.633	20.703	0.07	12	0	0	0	8	0			433.6	1747.0	435.2	1843.7	428.3	1898.0	382.1	1927.8	539.3	2143.5	5		436	1860	2639	12.0008	1	three	20.6616
AA	1	COLLEGE	773.8	1402.8	2658.9	88.1	128.4	477.7	26.522	26.482	26.602	0.12	5	5	4	2	6	1			764.7	1511.9	775.6	1397.1	781.3	1357.4	774.7	1325.4	766.0	1297.1	4		772	1316	2709	5.54201	1	college	26.5647
AH	1	OTHER	706.8	1264.4	3052.7	71.7	100.8	797.1	27.441	27.398	27.528	0.13	6	3	3	2	0	1			728.3	1310.6	702.9	1257.5	649.8	1202.6	588.9	1174.2	556.0	1210.8	4		734	1334	2728	6.33101	1	other	27.4137
AE	1	THAT	661.9	1617.5	1799.4	111.7	206.1	1466.1	27.78	27.747	27.847	0.1	3	1	4	1	3	0			656.9	1600.1	662.8	1618.2	665.7	1565.5	663.9	1289.6	673.9	1070.6	5		681	1624	2601	3.1413	1	that	27.7941
AO	1	NORTH	539.7	1157.0	2331.7	77.9	98.8	589.3	31.977	31.944	32.044	0.1	64	6	4	2	4	3			505.5	1231.0	541.4	1141.5	535.3	1036.0	522.2	1002.0	520.6	1058.3	5		521	994	2066	54.6004	1	north	32.0077
EY	1	BABY	477.6	1865.2	2921.4	67.3	137.9	1258.4	33.926	33.914	34.073	0.159	21	1	1	2	1	1			468.1	1996.9	450.7	2024.0	433.0	1938.6	421.5	1682.1	411.6	1972.8	5		468	2031	2954	21.11211	1	baby	33.9479
IY	1	THREE	390.0	1880.1	2341.8	109.5	135.4	911.2	36.927	36.904	36.974	0.07	12	0	0	0	8	0			394.5	1811.9	389.9	1886.8	397.8	1943.1	583.3	2071.6	1181.2	2399.7	5		387	1913	2363	12.0008	1	three	36.9308
AO	1	NORTH	515.9	1330.3	2294.4	71.1	76.3	591.9	42.948	42.928	42.988	0.06	64	6	4	2	4	3			498.1	1373.6	516.9	1324.7	521.9	1281.0	522.8	1250.2	522.7	1249.9	5		523	1239	2121	54.6004	1	north	42.9707
