vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
EY	1	EIGHTY	597.4	2169.2	2672.4	140.2	195.4	396.8	12.604	12.567	12.728	0.161	21	1	4	1	0	1			594.5	2150.9	581.6	2218.3	540.5	2252.5	493.1	2281.1	482.1	2212.2	5		541	2254	2793	21.14101	1	eighty	12.6255
AY	1	NINE	756.4	1633.3	2435.4	113.3	184.3	446.6	12.939	12.887	13.008	0.121	41	4	4	2	4	0		m	729.9	1614.9	750.0	1614.3	751.4	1659.9	723.7	1759.9	697.5	1886.1	4		758	1639	2438	41.4424	1	nine	12.9411
AY	1	LIFE	628.0	1300.9	2555.7	68.8	129.9	145.7	22.455	22.453	22.523	0.07	47	3	2	1	7	0			620.8	1401.0	607.4	1506.0	581.4	1628.0	554.0	1731.6	529.8	1790.9	4		623	1298	2511	47.3217	1	life	22.4576
ER	1	KERNAN	601.4	1339.0	1752.4	101.5	286.2	328.0	26.336	26.29	26.429	0.139	94	4	4	2	6	1			583.8	1352.7	602.8	1332.8	626.3	1378.9	632.6	1503.2	626.6	1590.7	5		635	1424	1738	94.60061	1	Kernan	26.3573
ER	1	KERNAN	610.3	1475.7	1824.0	160.3	610.8	436.5	26.949	26.929	26.989	0.06	94	4	4	2	6	1			602.8	1545.5	612.7	1472.8	629.0	1467.3	630.1	1465.2	618.8	1501.4	5		644	1540	1940	94.60061	1	Kernan	26.9684
EH	1	ELEMENTARY	688.1	1441.0	2473.6	184.2	225.8	252.6	27.656	27.639	27.69	0.051	2	4	4	2	2	4			680.5	1387.1	689.1	1450.8	691.9	1513.4	691.7	1561.3	683.8	1590.0	5		649	1472	2391	2.44225	1	(ele)mentary	27.6661
IY	0	BE	455.1	2140.5	2642.3	175.4	141.9	354.9	33.823	33.797	33.876	0.079	12	0	0	0	1	0			446.5	2101.9	456.0	2140.2	451.1	2149.2	455.9	2144.1	458.5	2111.8	5		440	2149	2665	12.0001	1	be	33.8202
AH	1	COMING	772.6	1245.3	2284.0	243.5	222.6	277.3	35.593	35.553	35.673	0.12	6	4	1	2	6	1			743.2	1324.0	774.5	1231.6	727.2	1125.7	572.6	1176.2	579.1	1203.7	6		672	1168	2323	6.412	1	coming	35.5925
AA	1	PROCTOR	666.7	1291.6	1953.1	58.2	138.0	267.6	38.174	38.147	38.227	0.08	5	1	6	1	8	4			649.7	1245.7	667.8	1295.8	674.6	1344.8	693.9	1422.9	692.7	1497.5	6		679	1373	2045	5.16184	1	Proctor	38.1904
AA	1	MOM	704.7	1167.9	2217.5	103.2	151.3	690.5	43.867	43.817	43.967	0.15	5	4	1	2	2	0			651.9	1134.8	707.8	1169.9	730.3	1177.5	740.0	1186.0	737.6	1185.7	5		743	1188	2372	5.4122	1	mom	43.9038
AO	1	BORN	514.7	903.6	2151.1	82.1	87.9	363.1	44.419	44.386	44.486	0.1	64	6	4	2	1	3			484.9	912.9	519.3	907.8	531.5	945.0	551.4	979.0	592.3	1050.4	6		558	962	2349	54.6001	1	born	44.4357
IH	1	HERE	415.7	2227.4	2660.4	186.1	197.2	967.6	44.763	44.716	44.856	0.14	14	6	4	2	0	0			414.3	2285.1	415.8	2217.1	431.9	2110.4	467.3	1988.2	512.1	1873.9	4		406	2237	2612	14.6	1	here	44.7359
AE	1	DAD	538.1	1852.1	2633.5	60.2	124.8	114.9	45.71	45.663	45.803	0.14	3	1	4	2	3	0			520.3	1823.6	539.4	1853.6	557.6	1842.7	571.9	1817.1	551.7	1760.6	4		533	1839	2621	3.1423	1	dad	45.7012
AO	1	BORN	533.0	845.1	2207.3	126.6	101.1	391.8	46.073	46.033	46.153	0.12	64	6	4	2	1	3			525.0	984.7	538.4	849.6	570.4	896.7	596.1	969.4	613.5	1062.8	6		622	903	2292	54.6001	1	born	46.0925
IH	1	CITY	502.1	1768.8	2561.3	88.4	174.6	246.7	47.336	47.313	47.383	0.07	1	1	4	1	3	1			482.8	1773.9	505.6	1766.8	517.8	1756.2	516.5	1749.6	507.3	1729.0	4		524	1753	2551	1.14131	1	city	47.35
UW	1	MOVED	473.7	970.8	2465.3	156.2	154.0	297.2	47.974	47.944	48.033	0.089	72	3	2	2	2	3			465.7	982.3	474.4	971.5	467.3	956.8	474.6	962.5	488.8	975.4	5		479	964	2463	72.3222	1	moved	47.9928
OW	1	NO	642.0	1317.2	2409.0	173.1	188.8	398.5	52.984	52.969	53.03	0.061	63	0	0	0	4	0			640.3	1333.0	645.1	1282.9	648.6	1225.4	637.8	1153.7	642.3	1155.9	6		628	1315	2485	62.0004	1	no	52.9849
OW	1	GO	529.2	1237.3	2302.7	70.6	105.8	278.2	74.314	74.307	74.407	0.1	63	0	0	0	6	0			527.2	1220.8	519.2	1199.1	516.2	1170.7	513.8	1140.9	512.4	1128.2	5		529	1226	2400	62.0006	1	go	74.3329
AO	1	MALL	652.2	984.3	2473.2	145.9	96.8	253.7	74.68	74.637	74.767	0.13	53	5	4	2	2	0			615.5	961.6	656.6	988.4	678.5	1011.7	677.6	1019.8	672.5	1024.1	5		676	1019	2462	53.5422	1	mall	74.7196
EH	1	THERE	612.1	1635.5	2388.2	86.7	123.1	152.0	74.887	74.867	74.927	0.06	24	6	4	2	3	0			606.6	1613.7	613.0	1636.4	618.3	1634.1	616.4	1618.1	617.1	1600.7	5		586	1588	2488	24.6003	1	there	74.8765
OW	1	SO	594.1	1350.1	2408.1	65.8	173.7	279.8	83.214	83.192	83.282	0.09	63	0	0	0	3	0			584.7	1361.7	622.2	1310.9	655.3	1259.3	674.1	1231.8	688.4	1206.3	5		589	1332	2401	62.0003	1	so	83.2148
AA	1	FATHER	689.5	1111.2	2504.5	80.0	102.7	250.5	89.556	89.506	89.657	0.151	43	3	3	2	1	1			671.1	1103.9	690.8	1111.1	693.1	1126.8	667.7	1140.9	592.3	1113.9	5		700	1120	2564	43.33111	1	father	89.5601
EH	1	THERE	519.8	1689.1	2183.0	82.3	235.2	278.4	90.043	90.026	90.076	0.05	24	6	4	2	3	0			517.8	1696.7	519.8	1689.1	520.0	1669.5	522.1	1651.0	520.7	1638.4	5		515	1678	2231	24.6003	1	there	90.036
OW	1	AGO	538.3	1260.1	2272.7	57.9	196.0	414.6	91.017	90.997	91.077	0.08	63	0	0	0	6	0			527.9	1287.4	552.6	1230.4	579.6	1197.9	616.7	1163.7	657.9	1133.8	5		590	1162	2265	62.0006	1	(a)go	91.0439
AA	1	GUITAR	667.8	1243.5	2107.5	86.3	127.5	286.6	93.059	93.029	93.118	0.089	44	6	4	2	3	0			678.4	1275.5	666.5	1240.4	655.6	1209.5	651.0	1186.8	645.0	1179.9	5		662	1214	2033	44.6003	1	(gui)tar	93.082
AH	1	CLUB	653.2	1201.0	2680.1	133.1	173.3	445.2	93.429	93.399	93.488	0.089	6	1	1	2	8	0			633.2	1198.0	654.5	1201.1	661.1	1192.5	645.6	1156.3	612.7	1101.7	4		642	1168	2439	6.1128	1	club	93.4362
AE	1	THAT	569.2	1632.7	2540.8	41.7	92.8	267.8	94.046	94.029	94.079	0.05	3	1	4	1	3	0			575.4	1636.6	569.2	1632.7	557.0	1625.0	549.1	1611.4	535.9	1594.0	4		573	1663	2543	3.1413	1	that	94.0168
AA	1	CONCERT	752.9	1325.4	2270.3	99.0	231.0	650.5	94.485	94.458	94.539	0.081	5	4	4	2	6	4			758.0	1373.1	752.2	1323.2	745.6	1316.3	730.9	1307.2	713.6	1317.0	5		739	1288	2234	5.44204	1	concert	94.4955
IH	1	THINK	591.4	1756.0	2449.2	61.4	250.4	222.3	98.982	98.965	99.015	0.05	1	4	6	2	3	3			585.8	1718.8	591.4	1756.0	597.5	1836.3	598.4	1924.6	594.7	2001.4	5		587	1714	2413	1.46233	1	think	98.9819
OW	1	SO	600.5	1329.7	2559.2	97.8	171.0	303.9	99.192	99.174	99.244	0.07	63	0	0	0	3	0			598.1	1347.5	605.7	1291.1	612.8	1244.7	620.5	1220.0	627.2	1195.7	4		582	1364	2477	62.0003	1	so	99.182
IH	1	DIDN'T	518.7	1827.3	2632.8	126.5	227.7	348.8	99.405	99.385	99.444	0.059	1	4	4	2	3	3			513.2	1777.4	519.3	1832.7	521.4	1865.0	522.9	1876.5	521.9	1867.6	4		536	1910	2469	1.14233	1	didn't	99.4335
OW	1	GO	558.0	1227.0	2266.9	54.0	94.6	108.5	99.625	99.604	99.714	0.11	63	0	0	0	6	0			560.3	1223.6	589.2	1169.8	584.5	1105.6	562.9	1053.1	524.1	987.9	6		569	1208	2322	62.0006	1	go	99.6309
OW	1	GO	545.4	1185.7	2336.1	50.5	97.4	153.8	104.154	104.147	104.227	0.08	63	0	0	0	6	0			544.7	1178.3	536.3	1170.9	527.2	1188.4	520.3	1224.7	514.5	1250.3	5		553	1195	2379	62.0006	1	go	104.1634
EH	1	THERE	528.7	1770.8	2491.8	68.8	183.4	304.5	104.299	104.276	104.346	0.07	24	6	4	2	3	0			532.7	1724.9	527.9	1778.1	524.3	1800.7	521.6	1798.0	522.0	1796.8	4		523	1705	2393	24.6003	1	there	104.2959
EH	1	AGAIN	568.8	1942.6	2375.8	68.9	174.0	199.5	104.539	104.506	104.606	0.1	2	4	4	2	6	0			533.5	2024.0	575.1	1929.4	629.4	1830.2	663.1	1784.6	678.8	1837.6	5		656	1786	2290	2.4426	1	(a)gain	104.5655
AA	1	GOT	633.8	1528.4	2237.6	50.1	168.4	436.4	104.943	104.916	104.996	0.08	5	1	4	1	6	0			611.2	1585.5	634.5	1522.4	634.8	1441.2	625.4	1391.8	603.6	1372.8	5		633	1542	2235	5.1416	1	got	104.9387
AY	1	NICE	673.6	1542.3	2420.5	130.2	290.1	916.4	105.147	105.127	105.196	0.069	47	3	4	1	4	0		s	672.6	1514.6	670.3	1605.7	655.5	1696.4	636.7	1769.6	614.8	1824.4	4		667	1590	2348	47.3424	1	nice	105.1496
EY	1	SKATE	521.9	2016.5	2573.6	91.2	202.7	314.5	105.386	105.357	105.426	0.069	21	1	4	1	6	0			504.0	2042.9	518.2	2026.9	520.3	2005.1	514.8	1967.2	512.9	1883.8	4		522	2024	2604	21.1416	1	skate	105.3822
AA	1	PARK	647.7	1185.7	2021.2	191.2	166.6	235.3	105.523	105.506	105.556	0.05	44	6	4	2	1	3			622.5	1173.0	647.7	1185.7	657.5	1216.1	650.0	1232.9	632.9	1241.2	6		648	1253	1928	44.6001	1	park	105.539
AO	1	FOUR	518.4	857.4	2147.8	108.9	114.1	486.3	110.02	109.983	110.094	0.111	64	6	4	2	1	0			542.8	816.5	519.6	861.8	525.8	915.1	542.0	986.4	533.5	1077.3	5		565	918	2041	64.6001	1	four	110.0363
AY	1	NICE	610.4	1469.4	2307.1	68.7	172.9	212.3	114.268	114.257	114.317	0.06	47	3	4	1	4	0		s	610.4	1473.4	607.3	1514.0	597.9	1550.9	585.8	1592.2	572.0	1629.0	5		609	1460	2291	47.3424	1	nice	114.2686
IY	1	FREE	484.8	1969.7	3673.2	213.2	104.7	1315.6	114.906	114.886	114.946	0.06	12	0	0	0	8	0			505.7	1939.8	482.6	1972.0	469.2	1981.1	464.1	1961.7	454.5	1804.8	3		502	1635	1884	12.0008	1	free	114.8789
IH	1	DIDN'T	428.4	1908.2	2638.1	94.2	106.2	128.2	117.601	117.577	117.648	0.071	1	4	4	2	3	3			438.6	1898.1	427.7	1908.0	424.8	1902.9	416.1	1885.8	412.9	1831.9	5		426	1917	2647	1.14233	1	didn't	117.6012
UW	1	DO	405.9	1932.1	2456.4	147.8	176.5	155.5	117.805	117.798	117.887	0.089	73	0	0	0	3	0			391.4	1916.9	386.5	1856.2	386.8	1785.5	387.4	1705.9	391.2	1644.9	5		397	1917	2455	73.0003	1	do	117.814
AE	1	THAT	604.9	1791.0	2633.1	31.6	182.0	135.3	117.994	117.937	118.107	0.17	3	1	4	1	3	0			588.9	1764.7	605.6	1791.9	608.8	1770.2	617.1	1735.5	662.2	1781.9	4		588	1748	2576	3.1413	1	that	117.9681
AH	1	UP	631.5	1064.9	2441.0	64.0	169.2	199.2	119.112	119.082	119.172	0.09	6	1	1	1	0	0			622.7	1064.1	632.3	1065.6	647.5	1078.8	646.9	1072.9	630.6	1055.1	5		646	1075	2486	6.111	1	up	119.1174
AA	1	ON	721.8	1141.4	2319.6	106.5	250.5	418.8	119.294	119.261	119.361	0.1	53	4	4	2	0	0			686.9	1102.1	725.7	1145.0	758.1	1195.8	773.5	1269.3	773.0	1309.6	6		752	1120	2365	5.442	1	on	119.3148
AH	1	COUPLE	621.9	1144.9	2215.5	80.9	132.5	245.2	123.62	123.597	123.667	0.07	6	1	1	1	6	1			620.5	1176.3	620.6	1134.4	617.7	1108.4	598.1	1062.2	565.7	1016.1	6		708	1204	2398	6.11101	1	couple	123.6201
AH	1	SUMMERS	718.8	1188.0	2433.9	204.9	187.5	330.2	123.92	123.897	123.966	0.069	6	4	1	2	3	1			690.5	1182.5	720.7	1187.3	722.3	1159.0	703.0	1114.0	685.3	1075.2	5		713	1154	2384	6.41231	1	summers	123.9303
OW	1	AGO	567.6	1127.9	2022.0	62.3	84.2	1325.1	124.271	124.246	124.387	0.141	63	0	0	0	6	0			571.4	1117.5	590.3	1071.9	580.8	1050.1	554.7	998.4	547.8	978.8	6		592	1072	2346	62.0006	1	(a)go	124.2981
AO	1	BEFORE	515.0	848.1	1923.7	72.5	129.8	573.4	125.379	125.336	125.466	0.13	64	6	4	2	1	0			518.7	832.5	513.9	853.1	513.7	895.8	523.7	941.4	527.8	1017.3	6		512	856	1882	64.6001	1	(be)fore	125.3843
UW	1	TWO	481.0	1887.9	2984.8	273.2	421.5	1381.5	125.743	125.736	125.787	0.051	73	0	0	0	3	0			481.0	1887.9	458.3	1857.9	434.6	1802.4	429.2	1791.5	429.0	1807.8	4		403	1609	2315	73.0003	1	two	125.7737
AW	1	ABOUT	630.1	1115.1	2422.2	73.3	126.7	250.0	129.677	129.649	129.759	0.11	42	1	4	1	1	0			621.7	1106.1	636.1	1113.2	643.2	1138.4	629.6	1163.6	579.1	1216.0	5		642	1138	2467	42.1411	1	(a)bout	129.6769
AE	1	THAT	632.8	1568.3	2658.8	45.4	103.6	211.3	129.875	129.839	129.948	0.109	3	1	4	1	3	0			624.3	1605.5	632.5	1560.6	638.3	1471.2	646.5	1392.1	635.2	1320.8	4		616	1625	2661	3.1413	1	that	129.8546
AO	1	LONG	705.4	1030.2	2375.3	95.3	63.4	278.7	130.071	130.028	130.158	0.13	53	4	6	2	7	0			701.3	1028.8	706.9	1031.2	716.6	1043.7	725.1	1051.5	731.5	1078.2	5		731	1049	2384	53.46273	1	long	130.1088
EY	1	THEY	533.8	1652.3	2281.9	74.1	227.8	210.5	130.315	130.298	130.368	0.07	22	0	0	0	3	0			533.3	1629.7	531.3	1725.8	519.0	1804.1	496.3	1866.9	483.0	1913.9	5		529	1659	2262	22.0003	1	they	130.3197
AA	1	STARTED	589.7	1382.3	2408.0	43.5	109.5	406.2	130.535	130.518	130.568	0.05	44	6	4	2	3	4			584.5	1384.1	589.7	1382.3	594.6	1384.9	593.5	1391.4	588.8	1394.4	5		592	1409	2561	44.6003	1	started	130.5306
IY	1	SEE	444.7	1991.1	2519.0	153.5	466.2	457.2	132.956	132.936	132.996	0.06	12	0	0	0	3	0			448.8	2017.5	444.2	1988.4	438.9	1939.3	446.1	1868.9	466.6	1806.2	4		430	1802	2450	12.0003	1	see	132.9736
AY	1	SIGN	780.1	1464.9	2733.7	95.5	234.0	533.7	133.304	133.226	133.387	0.161	41	4	4	2	3	0		s	744.4	1378.6	767.5	1348.2	779.6	1480.5	758.6	1437.8	693.0	1397.2	5		763	1321	2644	41.4423	1	sign	133.2818
OW	1	OVER	611.0	1319.8	2378.3	124.4	140.4	243.8	133.444	133.437	133.517	0.08	62	3	2	2	0	1			608.1	1284.4	598.8	1191.9	599.9	1085.3	641.2	1060.7	630.1	1241.5	5		603	1218	2326	62.32201	1	over	133.463
OW	1	DON'T	596.5	1107.1	2358.2	448.6	199.7	450.9	137.129	137.113	137.223	0.11	62	4	4	2	3	3			622.3	1116.2	633.4	1059.8	598.0	1026.4	588.6	998.0	605.4	963.8	5		595	1031	2429	62.44233	1	don't	137.1607
IY	1	PEOPLE	398.2	2094.4	2533.1	238.2	512.6	296.2	145.716	145.683	145.783	0.1	11	1	1	1	1	1			413.3	1864.4	397.0	2116.3	394.3	2141.6	401.3	2053.5	416.0	1969.7	4		410	2172	2558	11.11111	1	people	145.7334
AA	1	NOT	732.1	1428.2	2464.8	104.0	243.5	482.8	147.524	147.507	147.557	0.05	5	1	4	1	4	0			713.4	1399.0	732.1	1428.2	748.2	1447.5	756.2	1447.4	760.3	1441.1	4		738	1410	2378	5.1414	1	not	147.5309
OW	1	SUPPOSED	515.0	1016.1	2500.1	86.0	96.2	538.5	147.713	147.698	147.767	0.069	62	3	4	2	1	3			514.8	1014.7	516.7	1037.2	515.6	1062.3	509.6	1073.8	501.6	1083.6	6		516	1073	2617	62.3421	1	(sup)posed	147.7364
AY	1	BIKES	660.9	1277.8	2380.2	31.6	77.3	175.3	148.059	148.007	148.138	0.131	47	1	6	1	1	3			634.3	1121.3	659.6	1236.5	655.1	1381.8	599.5	1573.6	541.2	1789.2	5		669	1206	2553	47.1611	1	bikes	148.0439
IY	1	EITHER	414.8	2126.6	2625.5	97.5	98.3	266.3	148.548	148.498	148.648	0.15	11	3	3	2	0	1			443.2	2093.1	414.1	2129.0	417.3	2133.2	414.4	2083.1	510.5	1879.0	4		418	2141	2682	11.33101	1	either	148.5658
IH	1	BIG	493.5	1662.9	2301.2	94.0	103.1	102.9	150.111	150.085	150.164	0.079	1	1	6	2	1	0			482.6	1619.1	497.4	1669.2	518.4	1715.0	527.1	1770.6	522.6	1829.2	6		520	1792	2270	1.1621	1	big	150.1361
IY	1	REASON	436.0	1890.9	2151.2	111.1	119.5	179.4	150.364	150.344	150.404	0.06	11	3	4	2	7	1			438.5	1833.7	435.8	1896.6	435.3	1929.2	442.4	1933.7	449.2	1905.3	5		424	1935	2215	11.34271	1	reason	150.3795
IY	1	PEOPLE	420.2	2033.3	2408.2	154.4	174.3	268.1	150.868	150.845	150.914	0.069	11	1	1	1	1	1							809.5	2519.3	442.6	2049.8	466.6	1868.7	4		429	2069	2439	11.11111	1	people	150.8573
ER	1	HURT	545.7	1428.5	1680.8	103.1	183.8	140.3	151.204	151.174	151.264	0.09	94	1	4	1	0	0			587.2	1457.4	542.2	1427.9	510.3	1427.8	501.5	1461.9	512.4	1527.9	6		499	1362	1608	94.6	1	hurt	151.2196
