vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
AY	1	NINETEEN	724.7	1668.0	2124.6	118.9	124.3	873.3	11.4	11.395	11.464	0.069	41	4	4	2	4	4		m	714.1	1693.4	677.5	1661.5	635.4	1554.4	584.7	1334.2	515.4	1084.5	6		723	1734	2618	41.44242	1	nineteen	11.41
AY	1	NINE	781.2	1633.5	2249.3	125.9	132.5	553.1	12.035	12.004	12.114	0.11	41	4	4	2	4	0		s	774.6	1668.6	776.1	1619.7	767.6	1632.5	742.8	1695.7	653.6	1784.0	6		806	1697	2867	41.4424	1	nine	12.0396
OW	1	DON'T	582.4	1320.1	2710.2	79.3	255.3	464.8	21.622	21.604	21.733	0.129	62	4	4	2	3	0			631.2	1188.1	611.9	882.3	512.5	780.5	654.0	1328.4	679.4	2238.0	4		634	991	2295	62.44233	1	don't	21.6393
AW	1	NOW	803.6	1552.1	2456.6	92.1	78.0	639.2	22.353	22.303	22.533	0.23	42	0	0	0	4	0			800.3	1562.5	821.4	1451.9	826.8	1293.1	781.1	1189.2	704.4	1044.6	5		799	1563	2465	42.0004	1	now	22.3516
IH	1	LIVE	420.6	1507.0	2675.0	133.9	234.3	431.6	22.978	22.928	23.077	0.149	1	3	2	2	7	0			495.0	1586.0	410.1	1494.9	337.7	1410.4	359.2	1437.5	438.5	1633.3	5		515	1584	2773	1.3227	1	live	22.9456
IH	1	ILION	511.7	1804.0	2879.1	339.7	230.7	290.5	23.798	23.768	23.857	0.089	1	5	4	2	0	2			492.2	1791.5	513.2	1803.8	583.8	1809.4	613.9	1792.9	622.3	1727.4	4		614	1808	2875	1.54201	1	Ilion	23.8202
IH	1	LIVED	482.8	1553.6	2868.5	54.3	116.7	492.4	31.62	31.603	31.654	0.051	1	3	2	2	7	3			487.1	1535.3	482.0	1556.3	475.0	1568.9	466.2	1568.4	459.0	1549.6	4		478	1574	2902	1.3227	1	lived	31.625
IH	1	IN	515.4	1753.1	2626.7	52.5	159.2	207.9	31.857	31.744	32.084	0.34	1	4	4	2	0	0			451.6	1760.2	524.3	1757.9	573.7	1767.1	576.4	1761.2	551.7	1700.9	5		548	1697	2665	1.442	1	in	31.9199
IY	1	EAST	361.4	2460.4	3663.7	266.1	389.2	469.2	33.283	33.236	33.376	0.14	11	3	4	1	0	3			350.0	2558.8	362.3	2463.2	372.5	2557.1	763.7	2661.8	2500.2	3478.2	3		375	2379	2714	11.34103	1	east	33.3231
EH	1	AREA	595.3	1779.0	2622.2	115.3	300.6	477.6	34.626	34.606	34.667	0.061	2	6	4	2	0	2			590.2	1826.3	596.0	1774.7	601.8	1762.5	600.7	1757.6	591.7	1751.0	4		451	1890	2660	24.60001	1	area	34.5795
