vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
AY	1	NINETEEN	1036.4	2024.6	2936.4	745.2	945.7	986.7	16.451	16.464	16.533	0.069	41	4	4	2	4	4			863.1	2065.5	853.7	2173.8	847.3	2255.8	829.2	2348.0	803.1	2437.7	5		847	2145	3231	41.44242	1	nineteen	16.4868
EY	1	EIGHTY	691.2	2772.9	3357.8	219.4	197.8	813.7	16.758	16.734	16.824	0.09	21	1	4	1	0	1			682.8	2765.9	684.5	2775.1	632.2	2777.8	591.0	2729.4	562.7	2534.9	4		707	2771	3428	21.14101	1	eighty	16.7574
IH	1	SIX	749.1	1997.1	2863.2	99.4	192.2	385.7	17.033	17.013	17.073	0.06	1	1	6	1	3	3			725.9	1950.5	750.8	2001.2	763.2	2016.6	770.3	2030.5	760.4	2065.7	5		744	2036	2894	1.16133	1	six	17.0423
AE	1	LAST	871.2	1704.9	2568.9	95.8	168.5	1426.1	25.409	25.376	25.476	0.1	33	3	4	1	7	0			869.8	1677.5	870.6	1711.9	865.5	1759.7	855.4	1761.5	839.3	1793.8	5		878	1708	2847	3.34173	1	last	25.407
AW	1	SOUTH	813.7	1705.7	2798.8	105.7	125.0	1556.6	33.546	33.511	33.651	0.14	42	3	3	1	3	0			778.9	1711.7	900.9	1691.4	952.9	1591.3	921.3	1498.2	898.5	1586.2	5		960	1596	2839	42.3313	1	south	33.5808
OW	1	JONES	752.3	1605.4	2625.0	183.4	282.1	410.5	39.851	39.831	39.911	0.08	62	4	4	2	5	3			740.7	1655.3	767.5	1520.8	796.3	1441.2	879.2	1425.8	826.8	1345.1	5		773	1423	2759	62.4425	1	Jones	39.8657
AA	1	PROCTOR	874.7	1691.9	2382.9	134.0	249.1	330.4	42.103	42.086	42.136	0.05	5	1	6	1	8	4			865.0	1691.5	874.7	1691.9	885.8	1692.3	890.0	1702.7	887.2	1738.2	5		914	1740	2487	5.16184	1	Proctor	42.1121
EY	1	EDUCATION	699.6	2393.9	2985.3	432.3	649.1	300.1	48.121	48.108	48.198	0.09	21	3	5	1	6	1			653.0	2277.8	582.4	1879.9	564.3	1655.8	558.1	1540.5	713.4	1803.0	5		590	2518	3068	21.35101	1	(edu)cation	48.1406
ER	1	FIRST	616.5	1869.9	2230.4	131.2	170.1	318.6	52.21	52.184	52.263	0.079	94	3	4	1	1	3			608.3	1841.8	615.9	1871.2	603.3	1857.8	587.9	1867.3	573.6	1910.4	5		618	1878	2276	94.60013	1	first	52.2104
EY	1	EDUCATION	481.1	2764.2	3107.9	106.5	371.9	449.0	58.358	58.331	58.41	0.079	21	3	5	1	6	1			477.0	2601.5	481.1	2772.5	479.6	2848.3	471.1	2586.5	446.1	1801.8	5		477	2871	3237	21.35101	1	(edu)cation	58.3643
EY	1	MAJOR	573.3	2902.8	3285.8	105.3	237.0	323.1	58.634	58.621	58.74	0.119	21	2	5	2	2	1			565.2	2959.7	546.6	2955.9	535.2	2868.1	524.6	2730.1	506.5	2606.5	5		579	2826	3202	22.00221	1	major	58.625
EH	1	RESUME	828.8	1853.1	2751.8	50.2	125.0	179.1	60.444	60.421	60.491	0.07	2	3	4	2	7	2			836.2	1840.5	826.5	1856.5	811.1	1873.9	789.2	1885.6	756.6	1834.2	5		843	1909	2841	2.34271	1	resume	60.4455
AY	1	LIKE	760.0	1692.4	3038.0	79.8	140.8	282.8	61.359	61.361	61.421	0.06	47	1	6	1	7	0			722.9	1865.3	666.5	1983.9	613.1	2126.4	583.9	2243.6	520.8	2191.2	5		765	1760	3066	47.1617	1	like	61.3643
AY	1	OUTSIDE	849.7	1752.0	2875.8	84.2	177.9	246.2	61.836	61.76	61.94	0.18	41	1	4	2	3	0			775.4	1641.3	839.1	1696.3	831.9	1819.9	779.3	1987.5	721.7	2070.5	5		858	1769	2879	41.1423	1	(out)side	61.8372
IY	1	NEEDED	557.6	2523.1	2880.2	276.4	307.2	268.9	62.626	62.609	62.66	0.051	11	1	4	2	4	1			575.3	2514.2	553.1	2522.4	532.6	2480.5	541.0	2373.2	558.9	2248.5	5		507	2538	2787	11.14241	1	needed	62.6307
IH	1	KIDS	690.7	2174.3	2936.2	118.4	144.0	226.7	63.236	63.199	63.31	0.111	1	1	4	2	6	3			636.9	2163.0	697.2	2172.5	718.9	2151.8	710.5	2122.9	648.3	2069.7	4		711	2113	2924	1.1426	1	kids	63.2603
AO	1	ALL	885.9	1448.8	2803.5	72.5	246.1	563.7	64.555	64.505	64.655	0.15	53	5	4	2	0	0			854.5	1514.7	887.8	1441.1	894.4	1402.2	884.1	1328.6	875.6	1298.2	5		901	1439	2878	53.542	1	all	64.5722
EY	1	PLACE	630.5	1849.9	2795.1	75.8	121.9	2544.3	65.635	65.623	65.723	0.1	21	3	4	1	8	0			618.4	1937.3	594.7	2078.9	576.4	2199.2	566.4	2061.0	564.3	1968.9	5		617	1993	3176	21.3428	1	place	65.6477
AY	1	LIKE	673.3	1845.1	2896.8	94.0	142.3	309.6	70.667	70.652	70.733	0.081	47	1	6	1	7	0			673.2	1858.4	648.4	2022.2	607.7	2176.4	570.8	2280.5	834.4	2411.7	4		687	1878	2899	47.1617	1	like	70.6691
EY	1	PLAYING	811.3	1826.0	3240.2	80.2	89.2	218.2	73.179	73.166	73.236	0.07	21	0	0	0	8	1			811.2	1838.3	803.2	1985.4	790.4	2119.1	769.8	2268.2	734.0	2394.6	4		800	1950	3165	21.4428	1	playing	73.1896
EY	1	GAMES	624.8	2818.7	3990.0	233.9	115.3	1651.9	73.383	73.336	73.455	0.119	21	4	1	2	6	3			600.3	2803.9	623.1	2821.9	624.1	2797.7	642.7	2785.0	649.4	2708.2	3		611	2696	3071	21.4126	1	games	73.3814
IH	1	KIDS	630.3	2175.1	2965.1	76.1	172.1	174.2	73.788	73.765	73.835	0.07	1	1	4	2	6	3			629.7	2190.1	629.6	2172.8	616.6	2140.2	599.6	2089.5	576.5	1972.6	4		623	2146	2987	1.1426	1	kids	73.7973
AH	1	STUFF	908.3	1586.7	2932.4	84.2	237.5	310.8	74.179	74.125	74.286	0.161	6	3	2	1	3	0			850.7	1612.8	909.5	1582.5	912.4	1560.2	914.7	1567.5	889.3	1581.3	5		907	1549	2976	6.3213	1	stuff	74.1948
IY	1	RETAIL	452.2	2326.8	2835.9	69.3	134.9	574.5	75.265	75.245	75.305	0.06	11	1	4	1	7	1			453.2	2267.4	452.1	2332.7	450.6	2375.0	452.9	2401.2	486.5	2387.5	4		451	2284	2643	11.14171	1	retail	75.2603
EY	2	RETAIL	783.1	1998.7	2977.7	111.2	165.3	281.8	75.429	75.404	75.454	0.05	21	5	4	2	3	0			752.8	2039.3	762.7	2034.8	783.1	1998.7	797.2	1948.3	802.6	1895.6	4		749	2031	2955	21.5423	1	(re)tail	75.4191
AO	1	STORE	596.5	1169.0	2485.4	70.5	96.2	190.1	75.708	75.675	75.774	0.099	64	6	4	2	3	0			589.4	1227.9	597.9	1166.1	609.8	1168.9	616.4	1189.9	631.4	1226.9	5		645	1194	2653	64.6003	1	store	75.7147
IY	1	REALLY	655.1	1918.2	2343.5	155.1	197.1	185.4	81.83	81.813	81.863	0.05	11	5	4	2	7	1			650.0	1899.8	655.1	1918.2	666.9	1941.8	673.9	1940.6	679.4	1932.0	5		698	1975	2665	11.54271	1	really	81.8543
