vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
AY	1	NINETEEN	800.0	1986.1	3205.4	120.9	473.0	732.4	4.618	4.598	4.669	0.071	41	4	4	2	4	4			793.8	1882.0	796.1	2079.2	772.1	2216.4	737.0	2355.9	688.0	2498.3	4		813	1959	3295	41.44242	1	nineteen	4.6162
IY	1	NINETEEN	469.8	2620.0	3621.0	437.8	250.7	2255.7	4.809	4.789	4.849	0.06	11	4	4	2	3	0			801.3	2520.1	454.2	2631.7	490.8	2684.5	506.0	2683.1	519.8	2689.0	4		544	2537	2797	11.4423	1	(nine)teen	4.8203
EY	1	EIGHT	554.0	2677.7	3184.7	93.4	248.5	2863.4	5.193	5.158	5.228	0.07	21	1	4	1	0	0			492.6	2699.9	515.4	2686.7	554.0	2677.7	583.8	2674.9	591.9	2669.3	4		620	2486	2828	21.141	1	eight	5.2031
IY	1	EAST	396.1	2715.9	4263.8	101.7	124.7	729.8	25.989	25.942	26.082	0.14	11	3	4	1	0	3			409.0	2803.7	390.4	2710.4	353.6	2680.7	354.6	2671.4	369.3	2560.4	3		366	2382	2723	11.34103	1	east	26.0149
EY	1	EIGHT	699.4	2514.7	3373.5	347.2	700.5	1165.0	28.664	28.635	28.796	0.161	21	1	4	1	0	0			614.0	2459.5	530.6	2424.0	522.7	2479.1	533.0	2351.9	516.7	2246.1	4		528	2624	4201	21.141	1	eight	28.695
AY	1	NINE	883.1	1653.5	2360.7	193.8	175.8	1398.1	28.985	28.946	29.165	0.219	41	4	4	2	4	0			861.5	1022.7	835.6	865.8	735.7	939.2	622.5	797.3	471.6	896.2	6		886	1634	3412	41.4424	1	nine	28.9862
IY	1	EAST	523.1	2981.6	3754.3	318.7	133.5	752.4	32.237	32.207	32.296	0.089	11	3	4	1	0	3			621.5	3165.3	525.0	2979.6	513.5	2940.7	494.4	2937.7	472.1	2940.7	3		504	2373	3061	11.34103	1	east	32.2382
AH	1	COLUMBUS	673.1	1071.8	2330.8	231.9	220.9	333.4	35.955	35.935	35.995	0.06	6	4	1	2	7	4			666.3	1049.8	672.8	1074.5	666.9	1079.1	656.9	1065.7	646.5	1042.8	6		773	1040	2462	6.41274	1	(Co)lumbus	35.9686
AE	1	ACADEMY	668.5	2115.6	3043.7	44.2	202.2	178.7	39.075	39.048	39.129	0.081	3	1	4	2	6	2			663.5	2152.3	668.7	2112.5	666.2	2087.1	650.7	2056.0	620.6	1996.6	5		657	2137	3099	3.14202	1	(a)cademy	39.0674
IH	1	HERE	559.7	2360.3	2928.3	88.4	229.4	210.1	44.418	44.394	44.465	0.071	14	6	4	2	0	0			524.7	2368.3	564.9	2356.3	624.3	2334.9	657.1	2347.4	660.7	2280.1	5		509	2366	2988	14.6	1	here	44.4104
AA	1	MOM	874.2	1431.4	3462.1	145.9	105.8	485.3	46.827	46.797	46.887	0.09	5	4	1	2	2	0			906.3	1404.4	873.0	1433.4	855.7	1444.7	848.6	1420.6	853.8	1288.6	4		854	1446	3475	5.4122	1	mom	46.8395
AO	1	BORN	560.8	1018.7	3168.1	90.1	339.4	249.6	47.159	47.136	47.206	0.07	64	6	4	2	1	3			563.3	977.3	561.7	1025.1	582.3	1047.3	669.8	1081.3	737.1	1157.5	4		539	974	2922	54.6001	1	born	47.1584
AE	1	DAD	652.8	2089.2	2820.5	45.9	218.9	270.2	48.973	48.936	49.047	0.111	3	1	4	2	3	0			502.8	1665.6	653.9	2076.4	655.3	2000.5	646.6	1961.3	634.9	1873.6	6		631	2177	2961	3.1423	1	dad	48.955
OW	1	NO	825.5	1364.6	2536.9	313.6	264.4	394.9	52.588	52.558	52.708	0.15	63	0	0	0	4	0			825.5	1364.6	853.6	1270.9	850.6	1227.9	866.0	1776.6	691.7	1307.7	6		829	1353	2575	62.0004	1	no	52.5898
AA	1	DROPPED	699.8	1604.1	2625.4	53.8	488.9	269.0	58.239	58.209	58.299	0.09	5	1	1	1	8	3			687.4	1796.0	700.4	1592.6	702.2	1449.5	672.5	1225.8	635.6	1320.1	6		702	1485	2586	5.1118	1	dropped	58.2485
IH	1	IN	561.7	2047.4	3020.6	96.9	730.6	523.1	63.286	63.266	63.326	0.06	1	4	4	2	0	0			526.5	1950.8	566.5	2063.1	611.7	2208.8	655.1	2289.8	681.4	2281.8	5		694	2273	3062	1.442	1	in	63.3171
OW	1	ONLY	697.5	1132.1	2954.3	115.3	166.0	401.2	64.121	64.114	64.164	0.05	62	4	4	2	0	1			697.5	1132.1	694.4	1102.8	686.7	1034.6	687.5	1015.3	689.1	1047.5	6		667	871	2477	62.44204	1	only	64.1528
UW	1	TWO	556.9	1569.3	2213.6	294.1	514.3	983.3	64.53	64.513	64.563	0.05	73	0	0	0	3	0			599.8	1646.7	556.9	1569.3	485.9	1489.3	481.4	1485.4	497.3	1551.8	6		482	1583	2911	73.0003	1	two	64.5579
AA	1	NOT	927.4	1841.8	3256.4	66.8	190.4	254.5	72.186	72.159	72.239	0.08	5	1	4	1	4	0			858.1	1794.2	931.0	1848.1	934.2	1938.8	886.6	2022.9	807.9	2116.4	4		951	1907	3263	5.1414	1	not	72.1959
AE	1	FAMILY	571.2	2206.1	3006.3	85.6	304.5	137.3	95.596	95.563	95.662	0.099	39	4	1	2	1	1			550.3	2262.3	576.8	2195.0	661.7	2159.9	733.7	2069.3	729.5	1768.1	5		551	2262	2996	3.41212	1	family	95.589
AW	1	OUT	704.6	1492.3	3063.0	62.1	335.5	709.9	95.965	95.942	96.042	0.1	42	1	4	1	0	0			695.9	1527.6	745.3	1337.0	762.2	1183.4	728.1	1212.9	670.4	1316.5	5		776	1217	2680	42.141	1	out	95.9877
OW	1	DON'T	768.9	1332.2	1658.7	117.6	219.7	1378.7	99.757	99.748	99.808	0.06	62	4	4	2	3	0			768.9	1332.2	772.8	1261.2	770.2	1190.3	771.7	1141.0	768.9	1097.5	6		817	1371	3112	62.44233	1	don't	99.7637
OW	1	GO	614.9	1098.6	3175.9	126.9	239.9	466.5	99.908	99.888	99.977	0.089	63	0	0	0	6	0			614.9	1098.6	661.0	1133.5	661.6	1141.5	646.8	1144.4	605.9	1140.1	5		726	1142	3394	62.0006	1	go	99.9231
AE	1	GRANDMOTHER	681.1	1903.2	2515.5	117.6	420.5	413.8	100.335	100.308	100.388	0.08	39	4	1	2	8	2			625.0	1891.9	686.2	1901.1	744.9	1848.5	787.2	1760.2	792.5	1588.3	5		719	2067	2669	3.44285	1	grandmother	100.341
OW	1	GOES	564.3	1101.4	2631.1	104.6	144.4	909.3	100.667	100.648	100.757	0.109	62	3	4	2	6	0			577.2	1094.8	617.0	1098.5	608.6	1094.2	601.0	1158.2	567.9	1249.0	5		613	1092	2713	62.0026	1	goes	100.695
AA	1	LOT	828.3	1126.0	1903.1	123.7	316.6	970.7	101.104	101.067	101.178	0.111	5	1	4	1	7	0			817.8	1082.3	830.7	1135.8	857.5	1224.6	815.3	1282.6	871.6	1455.6	6		872	1367	3061	5.1417	1	lot	101.1329
ER	1	CHURCH	644.6	1968.6	3663.6	221.6	298.2	717.0	106.526	106.506	106.566	0.06	94	2	5	1	5	0			671.5	1990.3	639.5	1968.1	587.9	1968.6	505.0	1896.8	452.5	1989.3	4		639	1327	2035	94.2515	1	church	106.5196
EY	1	ABLAZE	604.0	1657.2	3048.1	91.8	176.1	159.9	109.944	109.931	110.051	0.12	21	3	4	2	8	0			581.6	1733.3	569.7	1852.0	571.5	2071.0	571.7	2313.2	557.8	2296.9	5		572	1792	2991	21.3428	1	(a)blaze	109.9607
AW	1	OUT	704.2	1133.3	2785.4	89.0	323.6	549.3	118.904	118.872	119.002	0.13	42	1	4	1	0	0			666.7	1120.7	744.4	1108.9	788.7	1162.5	794.4	1241.1	747.3	1200.7	5		796	1235	2952	42.141	1	out	118.9511
EH	1	THERE	700.7	2034.9	3303.5	73.9	797.9	856.9	119.136	119.113	119.182	0.069	24	6	4	2	3	0			708.6	1894.3	699.9	2048.8	696.5	2202.2	700.9	2237.1	701.3	2245.4	4		706	1718	2856	24.6003	1	there	119.1297
AY	1	I	936.2	1334.3	2906.9	98.0	211.9	925.9	127.973	127.903	128.043	0.14	41	0	0	0	0	0		m	921.4	1381.2	936.1	1337.5	928.0	1305.1	916.7	1319.2	858.6	1232.6	5		924	1299	2866	41.0006	1	I	127.983
AW	1	HOUR	1014.7	1367.0	3212.8	109.1	277.4	346.0	128.804	128.792	128.992	0.2	42	0	0	0	0	1			1015.5	1375.9	977.4	1311.7	839.3	1181.7	696.0	1028.8	680.8	864.2	4		1005	1341	3246	42.6	1	hour	128.8218
EY	1	PLACE	671.4	1704.9	2747.6	15.9	141.1	789.4	139.14	139.128	139.188	0.06	21	3	4	1	8	0			671.4	1704.9	662.6	1751.5	651.3	1826.7	636.0	1940.5	592.0	1873.1	6		668	1728	3079	21.3428	1	place	139.14
AA	1	LOT	861.3	1494.5	3034.4	96.6	183.3	256.4	150.55	150.533	150.583	0.05	5	1	4	1	7	0			825.0	1495.0	861.3	1494.5	907.6	1527.5	931.9	1562.0	943.9	1580.0	5		1000	1632	2961	5.1417	1	lot	150.5914
IY	1	PEOPLE	482.1	2113.8	2770.5	219.1	167.2	314.6	150.729	150.702	150.783	0.081	11	1	1	1	1	1			493.9	2146.9	483.3	2108.5	512.8	1927.7	544.1	1616.9	538.1	1302.0	5		477	2160	2811	11.11111	1	people	150.7222
AW	1	DOWN	832.9	1531.0	2770.6	92.9	217.9	301.6	151.049	151.022	151.142	0.12	42	4	4	2	3	0			824.1	1553.7	868.7	1502.1	879.0	1472.8	849.9	1461.0	807.2	1477.9	4		869	1459	2642	42.4423	1	down	151.0762
IH	1	CITY	536.8	2095.6	3074.1	59.2	206.4	271.7	151.49	151.473	151.523	0.05	1	1	4	1	3	1			537.4	2080.8	536.8	2095.6	532.6	2112.0	527.0	2116.0	513.4	2102.6	4		533	2092	3011	1.14131	1	city	151.4973
AY	1	I	837.2	1915.2	3055.5	66.9	289.9	525.4	159.285	159.255	159.365	0.11	41	0	0	0	0	0			835.2	1856.1	837.2	1918.8	826.1	1961.4	828.0	2039.4	817.5	2160.3	4		846	1905	2999	41.0006	1	I	159.2884
AA	1	LOT	867.0	1420.3	2585.2	22.0	256.3	334.0	169.427	169.407	169.467	0.06	5	1	4	1	7	0			856.6	1421.8	867.8	1420.0	874.2	1417.4	876.5	1417.9	878.7	1421.6	6		890	1460	2670	5.1417	1	lot	169.4685
EH	1	CONNECTION	847.8	1912.0	3071.2	87.6	183.6	179.4	171.273	171.256	171.306	0.05	2	1	6	1	4	4			844.6	1900.9	847.8	1912.0	842.4	1937.0	820.3	1973.1	791.8	2003.3	4		849	1900	3021	2.16144	1	(con)nection	171.2747
UW	1	JEWELRY	494.6	2048.3	4005.8	98.8	372.1	449.5	172.295	172.275	172.335	0.06	82	5	4	2	5	2			496.9	2027.2	494.4	2051.7	492.3	2066.0	492.3	2043.9	493.0	2017.3	3		475	1558	2161	82.54294	1	jewelry	172.2835
AH	1	STUFF	679.3	1153.1	2483.7	70.4	551.9	97.7	173.662	173.625	173.736	0.111	6	3	2	1	3	0			652.5	1260.3	681.4	1127.8	693.7	1024.7	677.5	1062.8	641.7	1367.0	5		696	1013	2469	6.3213	1	stuff	173.6815
AY	1	BUY	947.4	1773.8	3297.4	83.4	314.4	619.8	174.784	174.745	174.885	0.14	41	0	0	0	1	0			945.6	1795.9	943.4	1812.0	910.4	1942.9	812.5	2099.1	675.2	2265.6	4		924	1636	2662	41.0001	1	buy	174.786
