vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
AY	1	NINETEEN	839.0	2092.6	2652.8	214.3	136.9	260.3	20.054	20.025	20.105	0.08	41	4	4	2	4	4		s	824.3	2041.6	838.9	2086.6	823.4	2177.1	738.0	2134.8	550.3	1450.7	6	721	2115	2836	41.44242	1	nineteen	20.0427
AO	1	FORTY	501.4	947.0	2134.1	152.0	143.6	199.1	20.477	20.454	20.524	0.07	64	6	4	2	1	4			765.2	2159.6	772.6	2037.3	787.5	1740.9	778.2	1503.5	717.4	1239.7	5	493	985	2091	54.60011	1	forty	20.4909
UW	1	TWO	445.3	1553.4	2559.2	154.5	285.9	334.3	20.851	20.844	21.004	0.16	73	0	0	0	3	0			448.8	1328.2	464.6	1056.0	476.1	1057.8	440.4	1154.1	338.9	1177.2	6	448	1331	2606	73.0003	1	two	20.8706
AO	1	ALL	905.4	1170.3	2750.3	174.7	108.0	453.6	27.628	27.571	27.741	0.17	53	5	4	2	0	0			859.4	1150.7	906.7	1167.4	941.3	1117.0	943.5	1138.1	939.8	1113.5	6	950	1117	2418	53.542	1	all	27.6993
AY	1	LIFE	797.7	1531.3	2672.2	106.5	156.1	218.5	28.082	28.052	28.191	0.139	47	3	2	1	7	0			797.4	1512.4	767.8	1725.1	671.8	1959.7	559.4	2165.4	524.5	2299.0	5	800	1503	2679	47.3217	1	life	28.0789
IH	1	DID	498.9	2246.1	2902.3	111.5	119.5	141.6	28.582	28.552	28.641	0.089	1	1	4	2	3	0			472.5	2249.3	500.1	2245.0	513.7	2227.3	516.8	2218.2	511.2	2171.7	4	526	2217	2869	1.1423	1	did	28.6129
OY	1	POINT	660.5	940.6	2376.0	118.3	146.6	468.7	29.309	29.245	29.436	0.191	61	4	4	2	1	3			663.6	905.0	659.7	954.7	622.4	1279.3	565.6	1663.7	556.3	976.0	6	689	1045	2555	61.44213	1	point	29.2893
AY	1	NINETEEN	839.5	1966.9	2693.3	116.6	144.5	210.4	30.201	30.175	30.335	0.16	41	4	4	2	4	4			838.4	1982.1	800.9	2120.0	681.0	2339.1	590.0	2507.6	535.0	2468.3	4	860	1977	2654	41.44242	1	nineteen	30.206
EH	1	SEVENTY	722.5	1708.1	2577.3	89.1	164.2	344.0	30.998	30.965	31.065	0.1	2	3	2	2	3	2			683.3	1708.2	728.3	1707.4	766.0	1672.8	776.8	1618.2	722.1	1514.8	5	767	1674	2595	2.32232	1	seventy	31.0145
AY	1	NINETEEN	788.8	2010.2	2370.8	248.4	155.3	1338.4	32.903	32.886	33.016	0.13	41	4	4	2	4	4		s	783.9	2049.9	763.6	2176.5	692.8	2125.1	592.5	974.5	509.6	1237.6	6	820	2018	2588	41.44242	1	nineteen	32.907
