vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
AY	1	NINETEEN	724.0	2068.2	2535.7	124.9	108.3	2301.5	25.824	25.818	25.877	0.059	41	4	4	2	4	4		s	715.0	2088.4	693.4	2132.7	673.0	2192.2	649.8	2185.5	625.1	2162.6	5	740	2063	3260	41.44241	1	nineteen	25.8175
AO	1	BORN	675.1	936.5	2899.5	227.4	271.0	473.9	31.747	31.704	31.834	0.13	64	6	4	2	1	3			611.1	946.4	677.7	938.5	694.3	1016.5	685.3	1151.1	694.5	1321.2	6	663	934	2927	54.6001	1	born	31.7403
AO	1	NORTH	701.3	1536.5	2290.6	56.3	179.9	243.9	32.327	32.304	32.374	0.07	64	6	4	2	4	3			698.7	1522.2	701.6	1544.3	702.2	1598.3	698.7	1651.3	687.6	1674.1	6	700	1517	2352	54.6004	1	north	32.3193
AY	1	CAROLINA	710.5	1682.7	1817.2	155.6	302.2	358.5	32.766	32.734	32.844	0.11	41	4	4	2	7	1		m	701.5	1614.8	710.0	1692.9	690.3	1652.3	669.3	1626.4	643.5	1519.3	6	818	1710	3325	41.44271	1	(Caro)lina	32.7612
AE	1	JACKSONVILLE	690.0	2019.0	3013.8	109.4	134.4	553.5	33.3	33.276	33.347	0.071	3	1	6	1	5	5			661.5	2016.0	693.5	2021.0	731.3	2046.6	754.9	2072.1	708.9	2089.5	5	636	2056	3139	3.16155	1	Jacksonville	33.2759
AO	1	NORTH	638.9	1436.4	2493.8	80.0	82.0	555.4	33.739	33.716	33.786	0.07	64	6	4	2	4	3			634.0	1418.7	640.4	1440.3	644.9	1466.5	644.0	1503.7	633.9	1546.7	5	634	1420	2584	54.6004	1	north	33.7319
AY	1	CAROLINA	724.1	1867.6	2114.2	237.0	116.5	2136.8	34.132	34.106	34.256	0.15	41	4	4	2	7	1		s	676.4	1557.3	702.9	1760.0	716.1	1911.2	682.6	2010.2	634.8	2084.9	5	761	1825	3203	41.44271	1	(Caro)lina	34.166
EY	1	CAME	605.4	2813.0	3263.8	152.3	161.5	207.7	34.937	34.905	34.975	0.07	21	4	1	2	6	0			584.9	2808.6	600.8	2811.8	604.8	2812.1	592.1	2796.2	579.2	2717.1	4	632	2797	3348	21.412	1	came	34.8995
IH	1	HERE	606.3	2525.6	3067.2	139.7	167.3	1085.1	35.231	35.144	35.404	0.26	14	6	4	2	0	0			594.1	2620.3	613.0	2499.7	646.9	2167.1	656.5	2043.9	660.3	1913.2	5	600	2645	3217	14.6	1	here	35.1869
UW	1	TWO	528.9	1741.0	2619.3	121.7	173.1	1088.8	41.257	41.25	41.341	0.091	73	0	0	0	3	0			531.7	1666.7	546.7	1524.3	565.8	1346.9	584.1	1161.6	587.8	950.6	6	545	1528	2532	73.0003	1	two	41.2834
IY	1	THREE	640.7	2247.6	2700.6	211.9	151.4	288.0	41.67	41.65	41.71	0.06	12	0	0	0	8	0			627.6	2183.4	642.8	2255.2	661.8	2309.0	672.7	2339.7	672.2	2342.1	5	654	2365	3035	12.0008	1	three	41.711
IH	1	LIVE	607.7	1595.5	2433.4	102.9	90.9	1007.1	45.373	45.356	45.406	0.05	1	3	2	2	7	0			616.2	1600.9	607.7	1595.5	590.6	1573.6	576.6	1556.5	564.2	1548.5	6	641	1611	3340	1.3227	1	live	45.348
IY	1	EAST	530.6	2731.8	3229.5	143.4	151.4	278.2	45.582	45.555	45.635	0.08	11	3	4	1	0	3			559.7	2689.3	527.1	2733.7	486.8	2669.9	461.9	2426.7	451.4	2202.7	5	509	2732	3240	11.34103	1	east	45.5861
EY	1	SAME	610.6	2154.3	2430.6	47.3	143.3	1658.9	46.71	46.665	46.785	0.12	21	4	1	2	3	0			580.4	2023.7	610.1	2138.6	605.7	2255.3	598.8	2221.2	596.1	2100.4	6	613	2219	2805	21.4123	1	same	46.7193
AA	1	PART	846.1	1576.6	2311.8	85.8	292.6	416.4	46.935	46.915	46.976	0.061	44	6	4	2	1	3			836.4	1590.7	847.0	1574.8	840.4	1577.1	820.7	1633.5	803.3	1668.9	6	860	1657	2300	44.6001	1	part	46.9488
