age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
												IH	1		SIX		749.1	1997.3	2863.2	99.4	192.3	385.7	17.033	17.013	17.074	0.061	1	1	6	1	3	3										726.2	1950.8	750.8	2001.3	763.2	2016.7	770.2	2033.3	757.2	2075.1	5	744	2036	2894	1.16133	1	six	17.0423
												UW	1		MOVED		560.5	1434.4	2490	160	449.5	725.7	24.312	24.225	24.486	0.261	72	3	2	2	2	3										631	1653.6	550.9	1415.9	514.3	1418.2	500.1	1344.3	531.4	1556.9	5	649	1692	2813	72.3222	1	moved	24.2546
												AE	1		LAST		887	1731	2893.3	115.7	151.8	528.2	25.409	25.376	25.476	0.1	3	3	4	1	7	0										888.2	1704.7	885.7	1737.4	875.3	1785.8	850	1771.2	808.2	1745.6	4	878	1708	2847	3.34173	1	last	25.407
												AW	1		SOUTH		813.7	1705.7	2798.8	105.7	125	1556.6	33.546	33.511	33.651	0.14	42	3	3	1	3	0										778.9	1711.7	900.9	1691.4	952.9	1591.3	921.3	1498.2	898.5	1586.2	5	960	1596	2839	42.3313	1	south	33.5808
												OW	1		JONES		738.9	1661.3	2610.9	166.1	236.5	371.4	39.846	39.831	39.891	0.06	62	4	4	2	5	3										726.8	1692.4	755.7	1587.4	770.7	1498.9	794.3	1443.1	843	1430.9	5	773	1423	2759	62.4425	1	Jones	39.8657
												AA	1		PROCTOR		874.7	1691.9	2382.9	134	249.1	330.4	42.103	42.086	42.136	0.05	5	1	6	1	8	4										865	1691.5	874.7	1691.9	885.8	1692.3	890	1702.7	887.2	1738.2	5	914	1740	2487	5.16184	1	Proctor	42.1121
												EY	1		EDUCATION		669.3	2292.6	2945.9	552.8	699.7	295.2	48.122	48.109	48.199	0.09	21	3	5	1	6	1										627.2	2173.7	559.2	1765.4	563.4	1638.7	558.1	1532.7	737	1843.3	5	590	2518	3068	21.35101	1	(edu)cation	48.1406
												ER	1		FIRST		616.3	1870.8	2231.4	131.5	188.3	313.4	52.211	52.184	52.264	0.08	94	3	4	1	1	3										608.3	1841.7	615.9	1871.1	602	1857.3	586.3	1869.8	574.8	1927.1	5	618	1878	2276	94.60013	1	first	52.2104
												EY	1		EDUCATION		481.1	2764.2	3107.9	106.5	371.9	449	58.358	58.331	58.41	0.079	21	3	5	1	6	1										477	2601.5	481.1	2772.5	479.6	2848.3	471.1	2586.5	446.1	1801.8	5	477	2871	3237	21.35101	1	(edu)cation	58.3643
												EY	1		MAJOR		573.3	2902.8	3285.7	105.3	237	323.1	58.634	58.621	58.741	0.12	21	2	5	2	2	1										565.2	2959.7	546.6	2955.9	535.3	2860.7	524.3	2723.8	504.5	2596.4	5	579	2826	3202	22.00221	1	major	58.625
												EH	1		RESUME		828.8	1853.1	2751.8	50.2	125	179.1	60.444	60.421	60.491	0.07	2	3	4	2	7	2										836.2	1840.5	826.5	1856.5	811.1	1873.9	789.2	1885.6	756.6	1834.2	5	843	1909	2841	2.34271	1	resume	60.4455
												AY	1		LIKE		760	1692.4	3038	79.8	140.8	282.8	61.359	61.361	61.421	0.06	47	1	6	1	7	0										722.9	1865.3	666.5	1983.9	613.1	2126.4	583.9	2243.6	520.8	2191.2	5	765	1760	3066	47.1617	1	like	61.3643
												AY	1		OUTSIDE		849.8	1752	2875.7	84.2	177.8	246.1	61.836	61.761	61.94	0.179	41	1	4	2	3	0										778.5	1643.1	840.5	1700	831.8	1819.9	779.3	1987.4	721.8	2070.4	5	858	1769	2879	41.1423	1	(out)side	61.8372
												IH	1		KIDS		690.7	2174.3	2936.2	118.4	144	226.7	63.236	63.199	63.31	0.111	1	1	4	2	6	3										636.9	2163	697.2	2172.5	718.9	2151.8	710.5	2122.9	648.3	2069.7	4	711	2113	2924	1.1426	1	kids	63.2603
												AO	1		ALL		885.9	1448.8	2803.5	72.5	246.1	563.7	64.555	64.505	64.655	0.15	53	5	4	2	0	0										854.5	1514.7	887.8	1441.1	894.4	1402.2	884.1	1328.6	875.6	1298.2	5	901	1439	2878	53.542	1	all	64.5722
												EY	1		PLACE		630.5	1849.9	2795.1	75.8	121.9	2544.3	65.635	65.623	65.723	0.1	21	3	4	1	8	0										618.4	1937.3	594.7	2078.9	576.4	2199.2	566.4	2061	564.3	1968.9	5	617	1993	3176	21.3428	1	place	65.6477
												AY	1		LIKE		673.3	1845.1	2896.8	94	142.3	309.6	70.667	70.653	70.733	0.08	47	1	6	1	7	0										672.8	1871.6	645.1	2036.4	604.7	2187.5	570.8	2280.5	834.4	2411.8	4	687	1878	2899	47.1617	1	like	70.6691
												EY	1		PLAYING		811.3	1826	3240.2	80.2	89.2	218.2	73.179	73.166	73.236	0.07	21	0	0	0	8	1										811.2	1838.3	803.2	1985.4	790.4	2119.1	769.8	2268.2	734	2394.6	4	800	1950	3165	21.4428	1	playing	73.1896
												EY	1		GAMES		624.8	2818.7	3990	233.9	115.3	1652	73.383	73.336	73.456	0.12	21	4	1	2	6	3										600.3	2803.9	623.1	2821.9	624.1	2797.7	643.9	2783.6	648.8	2700.9	3	611	2696	3071	21.4126	1	games	73.3814
												IH	1		KIDS		629.6	2172.9	2969.4	76.6	167.3	166.8	73.789	73.765	73.836	0.071	1	1	4	2	6	3										629.7	2190.1	628.9	2170.4	616.6	2140.2	597.6	2082.1	574.3	1958.5	4	623	2146	2987	1.1426	1	kids	73.7973
												AH	1		STUFF		908.3	1586.7	2932.4	84.2	237.5	310.8	74.179	74.126	74.286	0.16	6	3	2	1	3	0										854.8	1612	909.9	1580.5	912.4	1560.2	914.7	1567.5	889.3	1581.3	5	907	1549	2976	6.3213	1	stuff	74.1948
												IY	1		RETAIL		452.2	2326.8	2835.9	69.3	134.9	574.5	75.265	75.245	75.305	0.06	11	1	4	1	7	1										453.2	2267.4	452.1	2332.7	450.6	2375	452.9	2401.2	486.5	2387.5	4	451	2284	2643	11.14171	1	retail	75.2603
												AO	1		STORE		596.5	1169	2485.4	70.4	96.1	190	75.708	75.675	75.775	0.1	64	6	4	2	3	0										589.4	1227.9	597.9	1166.1	609.8	1168.8	616.9	1191.3	632.8	1231.8	5	645	1194	2653	64.6003	1	store	75.7147
												IY	1		REALLY		661.3	1932.8	2378.7	152	194.9	200.4	81.833	81.813	81.873	0.06	11	5	4	2	7	1										649.9	1899.6	662.8	1935.7	672.9	1941.7	680.9	1928.7	685.8	1916.6	5	698	1975	2665	11.54271	1	really	81.8543
