v	N	f1_man_mean	f1_auto_mean	f1_diff	f2_man_mean	f2_auto_mean	f2_diff	f1_man_sd	f1_auto_sd	f2_man_sd	f2_auto_sd	f1_rmse	f2_rmse	f1_diff_mean	f1_diff_sd	f2_diff_mean	f2_diff_sd	f1_abs_diff_mean	f1_abs_diff_sd	f2_abs_diff_mean	f2_abs_diff_sd	f1_p	f1_t	f2_p	f2_t	f1_p_paired	f1_t_paired	f2_p_paired	f2_t_paired	f1_r	f2_r
all	389	803.8869	783.5643	20.32262	1829.247	1820.423	8.823907	154.966	142.0749	425.0347	424.4489	51.97352	99.72798	20.32262	47.89714	8.823907	99.46477	35.64447	37.87355	69.44087	71.67175	NA	NA	NA	NA	NA	NA	NA	NA	0.9516742	0.9725815
AY	41	892.6098	898.3341	5.72439	1838.585	1793.049	45.53659	116.0452	105.0335	158.3764	133.8194	52.61902	100.7576	-5.72439	52.95652	45.53659	90.99711	35.30488	39.50171	77.28293	65.45172	0.8154489	-0.2341807	0.1636276	1.406258	0.4928402	-0.6921524	0.002659413	3.204238	0.8899329	0.818876
EY	24	631.25	642.3375	11.0875	2441	2420.317	20.68333	83.42987	86.68309	293.3309	337.4504	29.02612	93.49426	-11.0875	27.40199	20.68333	93.13876	16.3375	24.50771	68.6	64.88961	0.653769	-0.4514789	0.8217409	0.2266223	0.05952322	-1.982244	0.2879012	1.087917	0.9488185	0.9660134
IH	22	661.9545	663.8136	1.859091	2204.682	2206.673	1.990909	74.69205	75.85799	230.1019	203.1084	19.39786	84.72256	-1.859091	19.76294	-1.990909	86.69236	13.07727	14.66411	60.4	60.80983	0.9351081	-0.08190927	0.9758741	-0.03042549	0.6635593	-0.4412252	0.9152431	-0.1077164	0.9656534	0.9273904
AE	43	808.9535	803.6093	5.344186	2200.535	2183.979	16.55581	74.14046	81.12846	244.2516	230.0187	42.07703	65.83625	5.344186	42.2302	16.55581	64.47474	29.6	30.25904	41.70465	51.54535	0.7506268	0.318865	0.747065	0.3235775	0.4113232	0.8298367	0.09963615	1.683818	0.8558116	0.9648073
AW	15	967.9333	890.9533	76.98	1644.333	1675.167	30.83333	87.50467	83.3331	109.94	163.2046	85.92086	78.83061	76.98	39.50326	-30.83333	75.09687	76.98	39.50326	68.87333	39.6961	0.02000803	2.467318	0.5495227	-0.6068538	2.679936e-06	7.547283	0.1341172	-1.590173	0.8941924	0.9219065
OW	31	758.129	723.2677	34.86129	1342.194	1427.655	85.46129	118.3691	93.72383	182.1024	231.9347	57.30679	124.0627	34.86129	46.23546	-85.46129	91.41945	44.9	36.19844	95.86774	80.04764	0.2037865	1.285585	0.1121508	-1.613627	0.0002209716	4.198065	1.306101e-05	-5.204892	0.9310291	0.9304588
AA	48	974.4583	931.4271	43.03125	1675.104	1640.015	35.08958	78.66329	60.33104	128.4153	156.7953	72.72361	100.8906	43.03125	59.24664	35.08958	95.59299	48.71458	54.56783	74.20625	69.07798	0.003434849	3.007306	0.233456	1.199523	7.548787e-06	5.032003	0.01433645	2.543155	0.665592	0.793081
ER	14	672.8571	677.9143	5.057143	1784.643	1742.679	41.96429	74.18258	78.97978	138.2916	151.01	22.4289	105.2854	-5.057143	22.67621	41.96429	100.206	17.58571	14.44666	74.43571	77.2711	0.8627283	-0.1746302	0.4501532	0.7668119	0.4190993	-0.8344472	0.1411406	1.566932	0.9580813	0.7634609
EH	48	846.0208	810.4021	35.61875	1916.958	1884.844	32.11458	92.76199	84.91146	166.6159	164.7058	58.97501	114.3551	35.61875	47.50121	32.11458	110.9145	41.73542	42.10876	76.28542	86.09321	0.05270636	1.962313	0.3447066	0.9496878	4.336304e-06	5.195109	0.05062913	2.006016	0.8606794	0.7759253
IY	22	576.1364	565.5091	10.62727	2557.818	2588.214	30.39545	101.6756	102.0853	204.4008	256.866	38.32491	129.5108	10.62727	37.68853	-30.39545	128.8561	24.98182	29.74781	72.43182	109.8889	0.7310995	0.3459604	0.6664041	-0.4343017	0.2001966	1.322586	0.2810641	-1.106407	0.9315841	0.868092
AO	34	830.1765	804.5206	25.65588	1286.382	1278.8	7.582353	119.9539	119.2726	154.2815	157.787	38.87346	59.40802	25.65588	29.64401	7.582353	59.80825	31.25588	23.46069	44.81176	39.58934	0.3797109	0.8843627	0.8418262	0.2003462	1.608536e-05	5.04649	0.4649906	0.7392347	0.9693056	0.9267829
AH	28	887.5	853.6143	33.88571	1582.929	1557.111	25.81786	78.16436	60.15607	141.8337	151.7864	55.35615	81.04815	33.88571	44.57607	25.81786	78.23581	43.12857	35.33879	63.18929	51.68482	0.07498986	1.817919	0.5135848	0.6576261	0.0004170079	4.022479	0.09214661	1.746199	0.8231916	0.8601434
UW	12	551.8333	535.8417	15.99167	1525.917	1530.933	5.016667	87.1486	88.21883	476.7922	521.7087	33.23413	122.3566	15.99167	30.42919	-5.016667	127.6899	24.35833	23.61461	83.88333	93.03802	0.6594394	0.4467271	0.9806066	-0.02458858	0.09596874	1.820514	0.8942032	-0.1360973	0.9398561	0.9712816
OY	4	573.75	595.15	21.4	998	1181	183	9.429563	27.84211	51.97435	157.1535	34.33089	218.0734	-21.4	30.99785	-183	136.9526	25.65	26.34862	183	136.9526	NA	NA	NA	NA	NA	NA	NA	NA	-0.1842901	0.5290515
UH	3	708.3333	669.5333	38.8	1391.333	1331.433	59.9	19.73153	27.54312	119.2574	150.0547	39.9387	68.09006	38.8	11.59698	59.9	39.65312	38.8	11.59698	59.9	39.65312	NA	NA	NA	NA	NA	NA	NA	NA	0.9324071	0.9825679
AY_N	10	943.1	929.04	14.06	1918.1	1838.78	79.32	98.2304	65.54085	173.1354	174.4597	84.5681	126.5135	14.06	87.90197	79.32	103.8911	60.56	62.22049	99.74	82.04071	0.7115799	0.3765121	0.3210045	1.020518	0.6251463	0.5058092	0.0389685	2.414374	0.4829107	0.8213617
EY_E	20	613.65	621.855	8.205	2462.6	2437.69	24.91	73.91053	73.25621	276.2204	312.0737	29.07541	94.09052	-8.205	28.61831	24.91	93.09032	14.505	25.85352	66.6	68.19065	0.7263293	-0.35261	0.7907024	0.2673032	0.2152032	-1.282182	0.2461441	1.196697	0.9244072	0.9571911
IH_E	13	673.3077	672.7462	0.5615385	2081.154	2083.531	2.376923	57.67348	54.87979	117.843	113.0294	11.16495	54.67795	0.5615385	11.60614	-2.376923	56.85681	8.469231	7.57225	43.7	34.20507	0.9799215	0.02543164	0.9585774	-0.05248502	0.8644228	0.1744469	0.8826915	-0.1507316	0.9799536	0.8795198
