v	N	f1_man_mean	f1_auto_mean	f1_diff	f2_man_mean	f2_auto_mean	f2_diff	f1_man_sd	f1_auto_sd	f2_man_sd	f2_auto_sd	f1_rmse	f2_rmse	f1_diff_mean	f1_diff_sd	f2_diff_mean	f2_diff_sd	f1_abs_diff_mean	f1_abs_diff_sd	f2_abs_diff_mean	f2_abs_diff_sd	f1_p	f1_t	f2_p	f2_t	f1_p_paired	f1_t_paired	f2_p_paired	f2_t_paired	f1_r	f2_r
all	358	595.3743	589.0441	6.330168	1446.709	1472.07	25.36061	123.4529	123.08	342.2801	332.5104	33.67266	107.0765	6.330168	33.11858	-25.36061	104.1755	19.95084	27.16382	57.62877	90.37213	NA	NA	NA	NA	NA	NA	NA	NA	0.9639115	0.9527417
AY	36	735.4722	739.6889	4.216667	1380.333	1398.956	18.62222	68.43453	77.15221	142.6971	132.1373	49.0189	117.6182	-4.216667	49.52996	-18.62222	117.7821	30.55556	38.874	66.08889	98.6751	0.8069351	-0.245322	0.5674676	-0.5745215	0.6126968	-0.5108019	0.3493059	-0.9486448	0.7748792	0.6350926
EY	14	496.5	501.7429	5.242857	1854.429	1850.207	4.221429	54.77331	57.22455	164.3035	136.6489	11.5281	122.6037	-5.242857	10.65448	4.221429	127.1564	9.142857	7.286839	69.29286	104.9624	0.8063564	-0.2476472	0.9416648	0.07391197	0.08852134	-1.841194	0.9030427	0.1242182	0.98285	0.656956
IY	24	399.5417	393.0583	6.483333	1911.667	1934.517	22.85	42.24049	38.74078	141.8078	94.073	19.51941	79.50486	6.483333	18.80723	-22.85	77.78835	13.66667	14.23638	48.94167	64.00329	0.5821786	0.5541524	0.5144338	-0.6578073	0.1047708	1.688804	0.1636062	-1.439055	0.895668	0.8586081
AA	42	746.9048	741.45	5.454762	1326.167	1346.143	19.97619	62.83964	58.35213	115.6167	147.4002	26.45414	65.70108	5.454762	26.19943	-19.97619	63.34931	17.75	19.85305	48.05238	45.34938	0.6812488	0.4122349	0.4915852	-0.6910678	0.184645	1.3493	0.04745433	-2.043598	0.9091486	0.9118955
AH	19	636.8421	622.0579	14.78421	1247.684	1267.484	19.8	46.46536	33.48095	134.5206	132.7419	31.70687	68.24938	14.78421	28.81773	-19.8	67.10391	22.78421	22.65429	51.33684	46.20463	0.2686813	1.125221	0.6506471	-0.4566773	0.03823769	2.236224	0.2146867	-1.286158	0.7872775	0.874002
AE	38	638.0526	635.0211	3.031579	1774.316	1775.892	1.576316	57.11674	54.61239	141.6282	137.5423	21.17359	57.73467	3.031579	21.23674	-1.576316	58.48786	13.62632	16.42386	34.25526	47.09824	0.8137125	0.2364832	0.9608774	-0.04921914	0.38455	0.8799802	0.8689528	-0.1661381	0.9287132	0.9126243
AO	35	581.1714	561.7457	19.42571	932.5714	941.0629	8.491429	73.5065	74.72777	148.0358	164.3361	34.46498	57.03114	19.42571	28.88449	-8.491429	57.21879	26.48286	22.37859	39.36	41.8741	0.2767795	1.096384	0.8210144	-0.2271262	0.000344148	3.978747	0.3861261	-0.8779628	0.9241921	0.9381714
ER	15	466	469.5667	3.566667	1324.067	1328.567	4.5	45.89429	43.10873	110.1236	115.5421	15.35641	40.57854	-3.566667	15.46072	-4.5	41.74371	13.14	8.226247	28.7	29.69358	0.8279482	-0.2193844	0.9138325	-0.1091899	0.3867085	-0.8934669	0.6826375	-0.4175102	0.9415514	0.9326788
UW	11	390.6364	409.6727	19.03636	1095.636	1245.709	150.0727	55.53967	81.86185	312.3355	434.3231	93.07133	348.6248	-19.03636	95.5504	-150.0727	330.029	41.16364	87.54776	168.6	320.0385	0.5315429	-0.6382302	0.3643665	-0.9304025	0.523692	-0.6607662	0.1624401	-1.508155	0.07215734	0.6533909
OW	30	553.3	538.49	14.81	1146.133	1268.547	122.4133	66.37207	51.50047	181.0229	223.1632	39.96225	169.9562	14.81	37.75117	-122.4133	119.9141	25.05667	31.66329	124.3	117.8893	0.3385091	0.965581	0.0232719	-2.333326	0.04013589	2.148747	4.912402e-06	-5.591379	0.8238856	0.8440057
EH	40	618.975	611.9075	7.0675	1591.125	1611.303	20.1775	62.98941	62.08425	140.0264	130.8509	23.23406	69.46235	7.0675	22.41502	-20.1775	67.31394	16.5575	16.50706	45.4025	53.23997	0.6147048	0.505398	0.5074664	-0.665872	0.05316119	1.994145	0.06541413	-1.895799	0.9358657	0.8786476
IH	33	479.2727	471.1788	8.093939	1841.182	1814.403	26.77879	37.06183	34.75023	132.8325	123.5924	16.42335	59.49178	8.093939	14.51193	26.77879	53.94777	12.00909	11.37674	37.77879	46.66944	0.3635433	0.9151865	0.3996955	0.8478537	0.003064286	3.203994	0.007558866	2.851507	0.9203154	0.9139621
AW	15	702	687.94	14.06	1358.267	1417.333	59.06667	37.51	45.45674	118.7599	162.0778	37.07962	109.3356	14.06	35.5148	-59.06667	95.23692	27.11333	26.18134	77.26667	80.07229	0.3636775	0.9239721	0.2654168	-1.138523	0.1474901	1.53328	0.03074772	-2.402054	0.6486532	0.8131365
UH	3	501.6667	491.1333	10.53333	1142	1140.8	1.2	20.59935	23.0808	116.6062	138.0137	11.42658	17.54328	10.53333	5.424328	1.2	21.43572	10.53333	5.424328	15.93333	8.991292	NA	NA	NA	NA	NA	NA	NA	NA	0.9755329	0.9999625
OY	3	524.6667	505.6667	19	806	856.2	50.2	38.73414	50.81283	126.2418	190.8532	31.96467	72.82532	19	31.4819	-50.2	64.61602	21.6	28.85775	50.2	64.61602	NA	NA	NA	NA	NA	NA	NA	NA	0.7852812	0.9999874
