v	N	f1_man_mean	f1_auto_mean	f1_diff	f2_man_mean	f2_auto_mean	f2_diff	f1_man_sd	f1_auto_sd	f2_man_sd	f2_auto_sd	f1_rmse	f2_rmse	f1_diff_mean	f1_diff_sd	f2_diff_mean	f2_diff_sd	f1_abs_diff_mean	f1_abs_diff_sd	f2_abs_diff_mean	f2_abs_diff_sd	f1_p	f1_t	f2_p	f2_t	f1_p_paired	f1_t_paired	f2_p_paired	f2_t_paired	f1_r	f2_r
all	498	682.8815	672.9904	9.891165	1754.809	1780.859	26.0496	182.125	175.1793	539.3798	528.6131	48.92375	150.1171	9.891165	47.96163	-26.0496	147.9883	33.58554	35.61027	89.21586	120.8512	NA	NA	NA	NA	NA	NA	NA	NA	0.964706	0.9617979
AY	58	842.7241	854.8276	12.10345	1695.172	1694.353	0.8189655	93.73307	95.20067	161.3687	155.7657	40.78739	85.96174	-12.10345	39.29038	0.8189655	86.70858	26.55517	31.22897	58.27759	63.74323	0.4916302	-0.6899466	0.9778633	0.02780888	0.02247497	-2.346048	0.9429084	0.07193124	0.913622	0.8510688
AO	44	714.8864	700.4568	14.42955	1055.773	1074.68	18.90682	174.9044	172.8155	197.7173	243.6181	59.54924	143.0758	14.42955	58.4425	-18.90682	143.4606	41.39318	43.30517	78.82045	120.7874	0.698035	0.3892751	0.6903965	-0.3997189	0.1087702	1.63776	0.3868645	-0.8742025	0.9435727	0.8082311
UW	16	431.3125	435.25	3.9375	1119.562	1353.344	233.7812	53.40627	59.79953	204.2289	291.9463	26.84697	340.3574	-3.9375	27.4276	-233.7812	255.4776	19.3625	19.20704	237.4187	251.8741	0.8456053	-0.1964425	0.01413778	-2.624622	0.5743171	-0.5742391	0.002320339	-3.660301	0.8886235	0.5171861
IH	39	538.0769	524.2692	13.80769	2097.436	2125.726	28.28974	59.1712	48.56159	241.1501	249.8518	35.7597	179.296	13.80769	33.41763	-28.28974	179.3646	27.62308	23.00638	110.1462	143.3233	0.2636399	1.126483	0.6123863	-0.508774	0.01385875	2.580345	0.3308672	-0.9849737	0.8252666	0.7336516
OY	4	720.25	657.625	62.625	1060.75	1105.375	44.625	142.0901	118.1514	72.79366	238.7531	92.75482	156.3046	62.625	79.00689	-44.625	172.9729	62.625	79.00689	110.725	127.3896	NA	NA	NA	NA	NA	NA	NA	NA	0.8311597	0.9316127
EH	59	771.0339	748.4254	22.60847	1828.847	1829.642	0.7949153	138.1148	116.226	242.1418	208.9461	55.14312	126.7528	22.60847	50.72706	-0.7949153	127.8383	40.40169	37.8517	65.01186	109.7445	0.3380881	0.9620416	0.984802	-0.01909096	0.00114066	3.423399	0.9620697	-0.04776237	0.9347729	0.8493843
OW	44	640.9318	635.2364	5.695455	1054.659	1146.086	91.42727	85.25568	79.30942	148.2123	205.4775	58.83849	176.4661	5.695455	59.23923	-91.42727	152.6799	34.18636	48.44163	127.7273	123.1699	0.7463888	0.3244507	0.01907362	-2.393733	0.527023	0.6377425	0.0002669955	-3.972101	0.7431126	0.6711162
AE	55	549.5636	540.5236	9.04	2451.655	2500.264	48.60909	65.38767	44.71619	204.0676	189.7309	43.68613	126.2174	9.04	43.1345	-48.60909	117.5553	28.48364	33.42871	80.98	97.70689	0.3994854	0.8463305	0.1985246	-1.293755	0.1259631	1.554265	0.00337919	-3.066598	0.7549024	0.8241939
ER	14	552.2143	519.8286	32.38571	1325.286	1304.05	21.23571	71.15982	52.88698	172.0257	197.5778	73.7556	81.70334	32.38571	68.76647	21.23571	81.87359	55.35714	50.57869	64.96429	51.41915	0.184373	1.366739	0.7641193	0.3033014	0.1015262	1.762141	0.3495178	0.970481	0.4161001	0.9109937
EY	42	532.7143	551.3667	18.65238	2333.619	2313.705	19.91429	66.71245	64.79027	288.5332	272.7547	48.61745	166.4275	-18.65238	45.44128	19.91429	167.2347	34.2381	34.9352	122.7381	113.7612	0.1972981	-1.299849	0.7459754	0.3250477	0.01109529	-2.660164	0.4447022	0.7717259	0.7615613	0.8238952
AA	48	911.625	879.925	31.7	1696.271	1668.11	28.16042	83.75969	83.36315	115.349	155.7082	50.95336	144.8913	31.7	40.31393	28.16042	143.6324	41.9875	29.17232	64.01875	131.3566	0.06623027	1.85848	0.3168244	1.006821	1.823936e-06	5.447845	0.1808417	1.358336	0.8836332	0.4710307
IY	29	435.1379	425.369	9.768966	2541	2553.586	12.58621	57.35773	45.264	202.3307	191.4873	32.7635	105.9257	9.768966	31.82678	-12.58621	107.0369	21.27241	25.35957	66.91034	83.57088	0.474685	0.719993	0.8086619	-0.2433037	0.1095157	1.652932	0.5317232	-0.6332281	0.8330884	0.8536625
AH	24	844.0417	836.8417	7.2	1347.333	1376.829	29.49583	66.79852	60.90467	168.3037	181.0421	37.46616	70.62571	7.2	37.55863	-29.49583	65.55173	27.15833	26.36476	46.0875	54.66673	0.6982036	0.3902019	0.5617077	-0.5845709	0.3574198	0.9391358	0.03777465	-2.204358	0.8309	0.9321504
AW	17	906.8235	882.9412	23.88235	1578.706	1670.871	92.16471	84.58371	75.52513	193.9506	196.5201	44.86895	207.9413	23.88235	39.15398	-92.16471	192.1376	36.34118	27.1261	148.3882	150.156	0.391737	0.8683749	0.1782925	-1.376278	0.02297324	2.514929	0.06544181	-1.977775	0.886433	0.5158067
UH	5	580.4	554.1	26.3	1033.4	1087.1	53.7	57.42212	34.79411	90.18481	133.32	39.62416	99.34199	26.3	33.13578	-53.7	93.44209	31.42	26.99207	85.58	56.40139	0.4118801	0.8758952	0.479867	-0.7460129	0.1505985	1.774776	0.2681404	-1.28504	0.8533615	0.7142756
