v	N	f1_man_mean	f1_auto_mean	f1_diff	f2_man_mean	f2_auto_mean	f2_diff	f1_man_sd	f1_auto_sd	f2_man_sd	f2_auto_sd	f1_rmse	f2_rmse	f1_diff_mean	f1_diff_sd	f2_diff_mean	f2_diff_sd	f1_abs_diff_mean	f1_abs_diff_sd	f2_abs_diff_mean	f2_abs_diff_sd	f1_p	f1_t	f2_p	f2_t	f1_p_paired	f1_t_paired	f2_p_paired	f2_t_paired	f1_r	f2_r
all	201	737.6965	718.4741	19.22239	1653.851	1668.018	14.16716	136.5358	128.2624	457.0353	477.7602	48.42575	180.1406	19.22239	44.55817	-14.16716	180.031	32.7398	35.77044	113.7134	140.0624	NA	NA	NA	NA	NA	NA	NA	NA	0.9452679	0.9267663
AY	22	828.0909	833.6227	5.531818	1715.727	1653.877	61.85	87.02759	85.75784	188.6004	169.5073	15.0174	227.0227	-5.531818	14.28997	61.85	223.5754	10.23182	11.25105	124.9136	194.0286	0.8328527	-0.2123613	0.259164	1.144026	0.08372075	-1.815716	0.2085124	1.297559	0.9864275	0.2239169
IY	13	523.2308	503.7769	19.45385	2469.385	2565.8	96.41538	68.81394	49.91787	293.2526	269.7694	47.47969	219.5329	19.45385	45.07983	-96.41538	205.2811	36.73077	31.31457	137.4	178.2103	0.4182297	0.8250752	0.3916785	-0.8724292	0.1456883	1.555947	0.1161474	-1.693437	0.7561707	0.7371473
EY	8	619.75	631.5875	11.8375	2171.25	2184	12.75	58.02155	56.41004	360.9843	422.1808	69.77357	134.8558	-11.8375	73.50976	-12.75	143.5211	48.2125	53.91958	105.3	90.06655	0.6853353	-0.4137433	0.9491756	-0.06492247	0.6625628	-0.4554702	0.8088225	-0.2512693	0.1749019	0.9447073
AH	12	752	712.7333	39.26667	1336.5	1333.4	3.1	46.28567	37.17422	217.8613	246.1433	49.98266	136.8238	39.26667	32.30078	3.1	142.8711	39.26667	32.30078	98.6	99.08014	0.03237651	2.291285	0.9742372	0.03266929	0.001457918	4.211159	0.9414341	0.07516364	0.7209395	0.8171352
AE	19	696.8421	701.0421	4.2	2125.211	2202.626	77.41579	59.86769	50.69717	160.784	189.8948	16.5136	216.1811	-4.2	16.4082	-77.41579	207.3752	12.71579	10.82473	130.8684	176.784	0.8168358	-0.2333647	0.1837123	-1.35619	0.2792054	-1.115746	0.1210655	-1.627233	0.969502	0.3096267
IH	13	619.3846	615.4769	3.907692	2101.462	2072.131	29.33077	105.8864	103.5153	223.8153	312.7228	47.66794	186.7931	3.907692	49.44737	29.33077	192.0086	32.52308	36.27242	121.9923	147.2311	0.9249878	0.09514786	0.7859156	0.2749967	0.7805503	0.284937	0.5918941	0.5507752	0.8887213	0.7930999
AA	34	896.1471	854.6588	41.48824	1510.765	1463.709	47.05588	69.66245	65.61277	162.2243	193.5536	63.35598	125.1721	41.48824	48.60229	47.05588	117.7349	43.85882	46.40829	92.03824	86.11108	0.01388339	2.527939	0.2813497	1.086456	1.971321e-05	4.977459	0.0260405	2.330496	0.7433917	0.7948989
AO	16	752	716.1875	35.8125	1105.188	1093.588	11.6	152.3649	135.8861	142.8389	149.1719	52.64554	88.17293	35.8125	39.8533	11.6	90.2731	39.9125	35.45581	68.325	57.56073	0.4883656	0.7016656	0.8237674	0.2246632	0.002655809	3.594433	0.6147434	0.5139958	0.9682014	0.8097124
OW	20	693.45	668.965	24.485	1096.75	1167.95	71.2	69.86112	72.34708	148.6132	204.2877	62.76429	181.3231	24.485	59.29268	-71.2	171.0913	45.365	44.50161	122.03	137.5988	0.2831175	1.088777	0.2159219	-1.26043	0.08041531	1.846775	0.0782781	-1.861088	0.6528225	0.5689602
UW	6	505.1667	505.3667	0.2	1273.167	1368.717	95.55	40.58284	35.55006	450.0842	575.6166	38.95904	207.0655	-0.2	42.67693	-95.55	201.2351	31.3	25.41141	115.2167	188.4714	0.9929367	-0.009080326	0.7557018	-0.3203112	0.991285	-0.01147922	0.2972893	-1.163061	0.3775686	0.9522588
AW	8	871	829.825	41.175	1390.25	1541.775	151.525	71.25808	107.3565	115.5073	246.4406	60.43323	237.5554	41.175	47.28992	-151.525	195.5878	54.55	27.80488	194.625	145.6167	0.3836379	0.9038233	0.1466087	-1.574685	0.04329418	2.462692	0.06456165	-2.191228	0.9390041	0.6291844
ER	8	679.5	664.5125	14.9875	1526.25	1663.5	137.25	54.06874	50.52489	156.8282	149.3328	42.90695	249.1229	14.9875	42.98014	-137.25	222.2603	24.1125	37.94121	149.075	213.3779	0.5758782	0.572842	0.09471013	-1.792637	0.3568454	0.9862939	0.1242061	-1.746608	0.6641917	-0.053465
EH	20	742.4	720.49	21.91	1875.85	1835.81	40.04	70.08296	67.86229	176.383	177.9795	31.68921	162.3558	21.91	23.48926	40.04	161.4285	23.76	21.51299	102.04	129.563	0.3215427	1.004406	0.4792149	0.7146145	0.000517971	4.17146	0.2811661	1.109249	0.9425131	0.5849877
OY	1	635	608.6	26.4	938	989.6	51.6	NA	NA	NA	NA	26.4	51.6	26.4	NA	-51.6	NA	26.4	NA	51.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UH	1	695	696	1	1060	1087.7	27.7	NA	NA	NA	NA	1	27.7	-1	NA	-27.7	NA	1	NA	27.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY_N	5	846.2	846.56	0.36	1766.4	1766.58	0.18	33.99559	40.54008	136.6704	144.3984	14.49248	24.44271	-0.36	16.19809	-0.18	27.32704	10.96	10.60132	21.98	11.95437	0.9882444	-0.01521496	0.9984345	-0.002024398	0.962747	-0.04969627	0.988954	-0.01472872	0.9203489	0.9825932
IY_N	2	586	520.75	65.25	2579	2671.15	92.15	59.39697	72.05418	59.39697	72.33702	65.86095	92.60316	65.25	12.65721	-92.15	12.94005	65.25	12.65721	92.15	12.94005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EY_E	6	612.3333	628.8833	16.55	2099	2090	9	60.32468	66.2211	396.6898	441.4391	77.87517	106.3004	-16.55	83.35926	9	116.0281	52.38333	63.12395	80.06667	76.59579	0.6606115	-0.4525536	0.9711084	0.03714533	0.6473074	-0.4863173	0.8567816	0.1900006	0.1346178	0.9672785
IY_E	10	501.8	497.35	4.45	2522.2	2596.34	74.14	60.50124	50.33334	215.4911	251.7032	38.16075	224.052	4.45	39.95053	-74.14	222.8665	26.91	28.52085	127.42	194.2605	0.8601535	0.1788051	0.488486	-0.7075701	0.7327665	0.352239	0.3202324	-1.051981	0.7549185	0.5542185
AH_N	1	773	673.1	99.9	1040	1071.8	31.8	NA	NA	NA	NA	99.9	31.8	99.9	NA	-31.8	NA	99.9	NA	31.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AE_E	15	700.2667	706.8733	6.606667	2091.467	2186.9	95.43333	53.29362	43.38473	153.4214	159.7735	14.91203	230.47	-6.606667	13.83786	-95.43333	217.146	12.12667	8.982878	133.8467	194.2058	0.7125548	-0.3723442	0.1063575	-1.668617	0.08566938	-1.849094	0.1108208	-1.702134	0.9798237	0.03902675
IH_R	4	508.5	524.825	16.325	2328	2413.5	85.5	61.47899	53.38916	90.185	116.6552	28.51372	178.5838	-16.325	26.99449	-85.5	181.0412	23.725	18.26315	98.25	172.198	NA	NA	NA	NA	NA	NA	NA	NA	0.8989649	-0.5244087
AA_N	4	855.25	844.55	10.7	1374.25	1351.075	23.175	39.39014	27.78315	266.5313	274.5718	30.34765	98.51676	10.7	32.79207	23.175	110.565	26.4	17.28275	73.575	75.6507	NA	NA	NA	NA	NA	NA	NA	NA	0.5702609	0.9169196
AO_R	6	580.3333	558.0667	22.26667	1028.333	999.0333	29.3	91.81213	49.95276	203.268	181.8362	47.72913	69.44835	22.26667	46.24628	29.3	68.97463	30.63333	40.09492	49.26667	53.61942	0.6164244	0.5218253	0.7978398	0.2631531	0.2913023	1.179381	0.3457701	1.040528	0.957862	0.941856
OW_E	15	676.7333	656.0733	20.66	1103.533	1174.767	71.23333	66.48143	74.45956	105.9285	198.4722	62.36059	195.7482	20.66	60.90397	-71.23333	188.7265	44.43333	45.29099	132.7133	148.9411	0.4296191	0.8016022	0.2334173	-1.226315	0.2100348	1.313803	0.1658707	-1.461827	0.6317665	0.356603
AA_E	24	893.5833	849.5833	44	1553.583	1504.854	48.72917	64.5317	55.41472	136.8178	168.0519	66.39539	129.252	44	50.79214	48.72917	122.2893	44	50.79214	91.74583	93.00091	0.01482367	2.534166	0.2765962	1.10161	0.0003066164	4.243867	0.06320243	1.952119	0.6509063	0.6960073
IH_N	2	722	694.85	27.15	2193	1931	262	39.59798	188.3025	113.1371	164.6145	108.5985	264.5165	27.15	148.7046	262	51.47737	105.15	38.3959	262	51.47737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OW_N	5	743.6	707.64	35.96	1076.4	1147.5	71.1	59.34476	54.445	254.8427	244.2698	63.96011	128.6864	35.96	59.13728	-71.1	119.9217	48.16	47.05728	89.98	102.8578	0.347521	0.9984223	0.6644162	-0.4503745	0.2455209	1.359701	0.2555707	-1.325735	0.4625219	0.8853868
UW_E	3	491	509.3667	18.36667	1478	1512.5	34.5	21.93171	42.58372	439.9989	494.1544	44.68538	69.63354	-18.36667	49.89162	-34.5	74.08016	31.56667	38.7362	45.36667	64.69964	NA	NA	NA	NA	NA	NA	NA	NA	-0.10429	0.9941244
AE_N	4	684	679.175	4.825	2251.75	2261.6	9.85	89.28606	76.35362	134.9873	302.2543	21.4811	151.0006	4.825	24.17042	-9.85	173.9891	14.925	17.83935	119.7	106.2894	NA	NA	NA	NA	NA	NA	NA	NA	0.9694189	0.9718882
AW_E	5	844.2	800.82	43.38	1377.4	1537.94	160.54	59.13713	100.5494	144.4067	296.8512	63.88566	264.0335	43.38	52.43512	-160.54	234.3624	60.9	21.58032	229.5	145.9599	0.4352676	0.8315479	0.3200035	-1.087444	0.1380027	1.849917	0.2003505	-1.531723	0.9130146	0.6304128
ER_E	1	639	644.6	5.6	1327	1968.6	641.6	NA	NA	NA	NA	5.6	641.6	-5.6	NA	-641.6	NA	5.6	NA	641.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EH_R	4	663.25	649.225	14.025	2006.25	2061.45	55.2	31.63727	46.45452	231.0619	109.2107	26.50693	164.9392	14.025	25.97221	-55.2	179.4729	20.975	18.71423	112.3	139.4926	NA	NA	NA	NA	NA	NA	NA	NA	0.8452042	0.6559698
