v	N	f1_man_mean	f1_auto_mean	f1_diff	f2_man_mean	f2_auto_mean	f2_diff	f1_man_sd	f1_auto_sd	f2_man_sd	f2_auto_sd	f1_rmse	f2_rmse	f1_diff_mean	f1_diff_sd	f2_diff_mean	f2_diff_sd	f1_abs_diff_mean	f1_abs_diff_sd	f2_abs_diff_mean	f2_abs_diff_sd	f1_p	f1_t	f2_p	f2_t	f1_p_paired	f1_t_paired	f2_p_paired	f2_t_paired	f1_r	f2_r
all	394	783.3299	768.8624	14.46751	1742.449	1744.292	1.842386	176.2915	166.5651	427.5899	423.2106	58.36563	106.957	14.46751	56.61602	-1.842386	107.0771	38.57157	43.85959	63.52614	86.15725	NA	NA	NA	NA	NA	NA	NA	NA	0.9470309	0.9683734
AY	39	879.6923	887.0231	7.330769	1682.436	1695.156	12.72051	123.9924	132.5609	193.3863	170.4887	41.15452	74.71064	-7.330769	41.02574	-12.72051	74.58215	24.77692	33.28986	51.52051	54.81197	0.801556	-0.2522186	0.7588355	-0.3081353	0.2714718	-1.1159	0.2935391	-1.065129	0.9510331	0.9235946
AO	35	794.9429	785.1429	9.8	1250.2	1243.523	6.677143	158.1699	157.1799	195.763	211.9453	44.10493	57.43634	9.8	43.63018	6.677143	57.87975	29.81143	32.97874	37.88857	43.7972	0.7956462	0.2600042	0.8915058	0.1369141	0.19275	1.328841	0.4995513	0.6824928	0.9617352	0.9627847
AE	43	724.3721	748.7395	24.36744	2188.628	2165.449	23.17907	90.02037	104.9069	248.823	238.3575	72.57396	97.18934	-24.36744	69.16989	23.17907	95.50186	52.2186	50.99684	67.52326	70.7299	0.2510708	-1.155909	0.6602627	0.4411183	0.02586785	-2.31008	0.118987	1.591543	0.7584192	0.9240326
EY	27	611.2963	625.5741	14.27778	2297.926	2252.289	45.63704	58.99858	59.5908	231.9227	282.1673	38.04848	130.5761	-14.27778	35.93984	45.63704	124.6717	25.67778	28.61223	87.68889	98.5941	0.3803803	-0.8847209	0.5191422	0.6492482	0.04910266	-2.06427	0.06829257	1.902091	0.8163531	0.9005324
IH	17	625.1176	610.9176	14.2	2057.118	2058.782	1.664706	75.64794	84.0362	428.9424	432.1848	46.22327	109.2634	14.2	45.34187	-1.664706	112.613	25.38824	39.81557	67.80588	88.31561	0.6081936	0.5178067	0.9910763	-0.01127215	0.2149583	1.291259	0.9521539	-0.06094995	0.8438359	0.9658242
UW	9	515.4444	507.2556	8.188889	1556.556	1528.578	27.97778	76.94172	69.02391	401.5729	392.3094	22.29746	186.2731	8.188889	21.99735	27.97778	195.3312	18.41111	13.34105	132.1111	139.2834	0.8151894	0.237669	0.8830223	0.1495078	0.2964958	1.116801	0.6787549	0.4296975	0.9603459	0.879179
IY	24	512.1667	513.9667	1.8	2475.917	2524.075	48.15833	70.64465	64.79356	337.5889	281.7577	25.28006	266.0969	-1.8	25.75824	-48.15833	267.3314	20.10833	15.65064	164.925	213.3149	0.9271073	-0.09199135	0.5942543	-0.5365385	0.7352012	-0.3423434	0.3866239	-0.8825252	0.9312642	0.6407159
AA	50	993.7	955.79	37.91	1646.34	1639.634	6.706	101.0391	108.3944	102.488	136.8002	69.35637	71.10758	37.91	58.66837	6.706	71.50936	44.65	53.61126	46.894	53.99584	0.07353143	1.809005	0.7820954	0.2774105	3.32976e-05	4.569143	0.5103676	0.6631101	0.8453318	0.8596235
OW	33	744.0909	687.4333	56.65758	1249.394	1291.182	41.78788	154.4372	112.9713	186.2914	180.6158	95.18135	114.5612	56.65758	77.66726	-41.78788	108.3218	75.36061	59.04153	81.89091	81.35552	0.09424896	1.700964	0.3583645	-0.925154	0.0002044147	4.190608	0.03391643	-2.216111	0.876403	0.8261162
AH	34	843.6176	814.7971	28.82059	1386.147	1376.403	9.744118	74.72293	88.60892	83.04111	101.1094	53.04634	46.68596	28.82059	45.20384	9.744118	46.34438	37.22647	38.35857	35.00294	31.35751	0.1519709	1.449848	0.665574	0.4342537	0.000744152	3.717637	0.2288818	1.225984	0.8602527	0.8915384
