v	N	f1_man_mean	f1_auto_mean	f1_diff	f2_man_mean	f2_auto_mean	f2_diff	f1_man_sd	f1_auto_sd	f2_man_sd	f2_auto_sd	f1_rmse	f2_rmse	f1_diff_mean	f1_diff_sd	f2_diff_mean	f2_diff_sd	f1_abs_diff_mean	f1_abs_diff_sd	f2_abs_diff_mean	f2_abs_diff_sd	f1_p	f1_t	f2_p	f2_t	f1_p_paired	f1_t_paired	f2_p_paired	f2_t_paired	f1_r	f2_r
all	368	607.3315	607.4565	0.125	1460.774	1487.039	26.2644	98.90167	99.67481	350.1054	361.438	32.55653	110.6511	-0.125	32.60061	-26.2644	107.6352	21.5875	24.40339	66.17636	88.80197	NA	NA	NA	NA	NA	NA	NA	NA	0.9461249	0.9547306
EY	31	540	553.8742	13.87419	1829.548	1886.861	57.3129	47.6634	50.67258	224.1764	206.6181	33.94275	211.258	-13.87419	31.48974	-57.3129	206.6963	22.74516	25.61106	121.8871	175.4022	0.2712643	-1.110422	0.299469	-1.046689	0.02019167	-2.453124	0.1331128	-1.543834	0.7965929	0.5421409
AY	38	679.3947	696.55	17.15526	1340.789	1361.242	20.45263	54.67523	70.79143	97.80791	115.6123	42.62235	96.59674	-17.15526	39.5412	-20.45263	95.67393	23.35	36.13594	62.32632	74.7901	0.2411184	-1.182285	0.4078463	-0.832558	0.01107719	-2.67448	0.1956742	-1.317794	0.831577	0.6092737
ER	14	553.2143	557.65	4.435714	1420.071	1410.25	9.821429	68.46468	64.97076	94.2529	122.1099	34.53581	80.52407	-4.435714	35.54266	9.821429	82.93989	28.35	20.4676	71.43571	38.56554	0.8617842	-0.175842	0.8136875	0.2382325	0.6482596	-0.4669578	0.6649965	0.443073	0.8593731	0.7348639
EH	32	631.4062	636.9031	5.496875	1587.781	1610.209	22.42812	67.77803	62.58228	173.4263	181.0412	25.44411	62.67985	-5.496875	25.24077	-22.42812	59.46639	17.79063	18.48163	41.42187	47.79518	0.7372123	-0.3370666	0.614609	-0.506065	0.227236	-1.231936	0.04090277	-2.133518	0.9280831	0.9446089
IY	23	427.8261	436.3304	8.504348	2118.261	2125.27	7.008696	47.56589	42.46856	175.2868	145.2954	28.2004	131.3215	-8.504348	27.49181	-7.008696	134.0816	21.30435	18.89193	94.71304	93.01029	0.5257836	-0.6396116	0.8833297	-0.1476333	0.1521149	-1.483548	0.8043825	-0.2506871	0.8193572	0.6647138
AH	29	661.1379	653.0034	8.134483	1212.517	1239.314	26.79655	38.02887	44.59759	77.84032	86.30511	34.85461	75.78552	8.134483	34.492	-26.79655	72.14477	23.96207	25.75935	58.63103	48.86919	0.4580231	0.7474063	0.2196081	-1.241616	0.2145307	1.27002	0.05526261	-2.000198	0.6619833	0.6179517
AA	43	709.1628	706.0558	3.106977	1280.023	1284.884	4.860465	50.40452	54.24813	118.3833	146.1882	25.4225	67.95522	3.106977	25.53054	-4.860465	68.58335	18.92558	17.17515	51.53023	44.82493	0.7838925	0.275134	0.8658808	-0.1694333	0.4293496	0.7980173	0.6445307	-0.4647221	0.8835126	0.886441
AO	33	627.1515	604.9515	22.2	997.6667	978.0273	19.63939	70.07501	81.16079	82.27571	110.1086	43.86005	63.06154	22.2	38.41326	19.63939	60.85452	30.81212	31.69803	46.08788	43.70997	0.2387921	1.189342	0.4150564	0.8207904	0.002256787	3.319929	0.07298758	1.853925	0.8810794	0.8383644
IH	28	521.1429	521.1179	0.025	1820.464	1833.871	13.40714	51.27393	53.72401	211.3161	200.8797	23.40379	56.75716	0.025	23.83324	-13.40714	56.16295	16.91786	16.46844	39.19286	41.80567	0.9985853	0.001781292	0.8086776	-0.2433255	0.9956121	0.005550548	0.217324	-1.26318	0.8979866	0.9641293
