v	N	f1_man_mean	f1_auto_mean	f1_diff	f2_man_mean	f2_auto_mean	f2_diff	f1_man_sd	f1_auto_sd	f2_man_sd	f2_auto_sd	f1_rmse	f2_rmse	f1_diff_mean	f1_diff_sd	f2_diff_mean	f2_diff_sd	f1_abs_diff_mean	f1_abs_diff_sd	f2_abs_diff_mean	f2_abs_diff_sd	f1_p	f1_t	f2_p	f2_t	f1_p_paired	f1_t_paired	f2_p_paired	f2_t_paired	f1_r	f2_r
all	475	639.9789	625.9417	14.03726	1538.339	1568.388	30.04905	123.5305	119.0113	348.0432	368.0502	38.06102	112.9146	14.03726	35.41521	-30.04905	108.9576	25.40358	28.37242	67.35095	90.72422	NA	NA	NA	NA	NA	NA	NA	NA	0.9580379	0.9552236
AY	40	747.125	748.025	0.9	1514.225	1509.088	5.1375	66.64686	71.66644	140.6531	142.4001	20.28133	75.20854	-0.9	20.51947	5.1375	75.98873	12.105	16.48003	44.6425	61.29685	0.9537693	-0.05816179	0.8714595	0.1623381	0.7829382	-0.2773999	0.6712978	0.427595	0.9585611	0.8559282
OW	30	591.9667	555.9567	36.01	1165	1239.483	74.48333	57.61015	63.54945	142.8201	185.2152	55.10339	141.6909	36.01	42.42231	-74.48333	122.595	40.08333	38.4579	106.5367	95.01136	0.02513556	2.299427	0.08674954	-1.744284	6.716394e-05	4.649321	0.002389433	-3.327722	0.7590369	0.7498872
AW	30	778.3	742.5767	35.72333	1412.433	1479.973	67.54	49.51499	66.41389	117.27	162.4188	53.63392	126.4409	35.72333	40.68942	-67.54	108.7181	37.62333	38.87756	96.07333	83.60753	0.02184033	2.361947	0.07041399	-1.846612	4.315771e-05	4.808738	0.001966779	-3.402669	0.7916888	0.7432328
IH	31	512.7097	503.5355	9.174194	1841	1912.371	71.37097	62.60894	40.75044	167.5611	254.9689	42.26523	154.4611	9.174194	41.93952	-71.37097	139.2476	30.39355	29.85523	92.59677	125.6724	0.4971797	0.6837747	0.1985199	-1.302449	0.2327402	1.217938	0.00775871	-2.853741	0.7489303	0.8624882
IY	24	424.25	417.6917	6.558333	2053.542	2183.383	129.8417	57.68298	47.81037	153.6549	223.3584	21.95848	254.4226	6.558333	21.40695	-129.8417	223.5025	16.56667	14.7225	153.375	207.361	0.6701099	0.4288402	0.02390327	-2.346279	0.1469923	1.500875	0.009147133	-2.846015	0.9345886	0.3430264
EH	56	660.5357	649.4679	11.06786	1700.804	1707.546	6.742857	80.61625	71.97236	119.5154	123.565	43.53926	72.61202	11.06786	42.49011	-6.742857	72.95256	29.25357	32.53925	48.27143	54.73456	0.4451016	0.7663986	0.7696758	-0.2935234	0.05637124	1.94926	0.4920556	-0.6916676	0.8508575	0.8203649
ER	12	502.75	507.125	4.375	1375.583	1433.475	57.89167	51.46954	53.37003	117.6949	152.6939	21.57188	108.8472	-4.375	22.06285	-57.89167	96.27381	17.925	12.53534	66.84167	89.72622	0.8399203	-0.2044029	0.3102588	-1.040219	0.5063557	-0.6869215	0.06137437	-2.083044	0.912055	0.7762066
AO	47	645.4043	614.9	30.50426	1032.021	1029.643	2.378723	103.0282	99.81444	160.7887	185.6695	49.41459	73.40908	30.50426	39.29563	2.378723	74.16375	33.85319	36.38588	56.0766	47.8863	0.1482926	1.457842	0.9472098	0.0663957	2.962847e-06	5.32188	0.8269314	0.2198878	0.9254248	0.9182474
AE	60	643.85	640.245	3.605	1875.15	1883.745	8.595	54.01218	53.10652	134.9827	145.888	19.68826	61.96618	3.605	19.51874	-8.595	61.88508	13.98833	13.97167	40.11167	47.63058	0.7130489	0.3686507	0.7382477	-0.3349678	0.1578098	1.430636	0.2863919	-1.07581	0.9337329	0.9057797
AH	35	688.0857	665.9886	22.09714	1295.286	1295.931	0.6457143	51.94135	51.23923	132.3015	132.4839	38.48428	52.21526	22.09714	31.96803	-0.6457143	52.97351	28.38857	26.36258	39.18857	35.01013	0.07762325	1.791749	0.9837816	-0.02040306	0.0002504689	4.08935	0.9429343	-0.07211334	0.8080994	0.9199512
AA	56	776.3929	753.8804	22.5125	1431.071	1433.968	2.896429	57.10618	66.01732	132.2904	161.7426	35.85231	53.99477	22.5125	28.15548	-2.896429	54.40498	25.24464	25.68812	42.04643	34.18183	0.05623551	1.93	0.9175793	-0.1037308	1.71071e-07	5.983492	0.6918785	-0.398399	0.9053948	0.9511036
UW	16	433.75	435.9	2.15	1321.188	1404.281	83.09375	43.75157	47.21535	345.6613	376.7285	38.98373	144.9375	-2.15	40.20095	-83.09375	122.6477	24.9625	30.92537	101.3562	107.0017	0.8946141	-0.1336027	0.5206208	-0.6500855	0.833486	-0.2139253	0.01613197	-2.709999	0.6117339	0.9459483
OY	5	605.6	599.34	6.26	974.4	1205.7	231.3	74.20445	93.68374	109.6599	296.6889	40.42363	290.6134	6.26	44.64978	-231.3	196.7118	37.14	17.84273	231.3	196.7118	0.909796	0.1171252	0.1621093	-1.635133	0.769567	0.3135018	0.05823257	-2.62924	0.8839026	0.9428965
EY	28	529.7857	538.5	8.714286	2013.464	2038.575	25.11071	62.87634	51.41836	196.1306	205.9621	23.78257	134.9525	-8.714286	22.53459	-25.11071	135.0289	18.14286	15.65902	84.56786	107.0985	0.5726757	-0.5677123	0.6422455	-0.4671938	0.05058201	-2.046261	0.3338337	-0.9840371	0.9417688	0.7755178
UH	5	514	492.88	21.12	1166.8	1174.66	7.86	71.9618	77.97959	74.42916	69.54271	32.8869	36.55935	21.12	28.18452	-7.86	39.91877	25.48	23.24644	31.26	21.19547	0.6681433	0.4450644	0.867316	-0.172542	0.1691274	1.675592	0.6824794	-0.4402815	0.9324471	0.8483743
AY_N	14	765.9286	761.7429	4.185714	1544.571	1528.214	16.35714	38.89525	38.76062	126.1505	112.8801	9.017998	35.85196	4.185714	8.289275	16.35714	33.10739	6.171429	6.823763	28.04286	23.18065	0.7777386	0.2852158	0.7206478	0.3615469	0.08135091	1.88937	0.08738095	1.848615	0.9772175	0.9676966
OW_N	5	638.6	589.14	49.46	1039.6	1103.7	64.1	28.8756	48.5157	148.212	179.3766	60.1734	152.9197	49.46	38.31688	-64.1	155.2241	53.34	31.13845	100.18	129.1723	0.09402227	1.958885	0.5556116	-0.6159888	0.04472662	2.88635	0.4080645	-0.9233873	0.6136647	0.5651191
AW_E	17	773.1765	743.4471	29.72941	1439.471	1456.629	17.15882	56.90808	68.96657	113.7954	151.5267	36.94256	91.62586	29.72941	22.60469	-17.15882	92.77488	31.18824	20.40955	67.51176	63.85375	0.1802882	1.370894	0.7115468	-0.3733412	5.639082e-05	5.422657	0.4568139	-0.7625733	0.9534283	0.7916977
IH_E	17	513.1176	503.8	9.317647	1775.882	1861.029	85.14706	42.03404	33.67573	139.8409	252.3948	36.97882	172.0537	9.317647	36.88703	-85.14706	154.1087	26.43529	26.65326	99.08824	144.9845	0.4810836	0.7132852	0.2350951	-1.216689	0.3131286	1.041495	0.03679609	-2.278069	0.5440597	0.8430221
IH_L	1	614	511.7	102.3	1808	1804	4	NA	NA	NA	NA	102.3	4	102.3	NA	4	NA	102.3	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IH_N	4	586	539.3	46.7	1818.5	1829.425	10.925	82.18678	72.3784	156.7025	142.5391	49.86647	47.88755	46.7	20.19158	-10.925	53.83756	46.7	20.19158	44.425	20.64419	NA	NA	NA	NA	NA	NA	NA	NA	0.9738175	0.9396075
IY_E	21	418.6667	411.4	7.266667	2064.905	2213.41	148.5048	58.80079	47.66998	160.9472	222.7713	22.7258	271.9549	7.266667	22.06446	-148.5048	233.4547	16.90476	15.56359	173.7905	214.3459	0.6624672	0.4399153	0.0180578	-2.476209	0.1468802	1.509217	0.008561149	-2.915059	0.9352585	0.2932682
EH_R	17	571.9412	581.5647	9.623529	1801.059	1778.018	23.04118	67.87071	47.02711	115.5955	103.4587	40.71869	83.1746	-9.623529	40.7828	23.04118	82.37909	23.58824	34.21195	53.68824	65.48139	0.6345125	-0.4805415	0.5446607	0.6123885	0.3450682	-0.9729304	0.2657577	1.15322	0.8075075	0.7224343
AY_E	24	739.375	745.2125	5.8375	1511.167	1506.312	4.854167	76.47893	81.23571	144.3545	160.8987	23.16645	90.60968	-5.8375	22.90111	4.854167	92.42558	14.37083	18.56121	52.2125	75.64657	0.7988528	-0.2563174	0.9128844	0.1100115	0.2243174	-1.248752	0.7992404	0.2572931	0.9596131	0.8219965
ER_R	12	502.75	507.125	4.375	1375.583	1433.475	57.89167	51.46954	53.37003	117.6949	152.6939	21.57188	108.8472	-4.375	22.06285	-57.89167	96.27381	17.925	12.53534	66.84167	89.72622	0.8399203	-0.2044029	0.3102588	-1.040219	0.5063557	-0.6869215	0.06137437	-2.083044	0.912055	0.7762066
AO_R	27	570.6296	539.7704	30.85926	943.5556	932.0407	11.51481	64.35308	46.99736	117.2543	142.33	49.08963	88.34073	30.85926	38.90444	11.51481	89.25554	34.65185	35.43364	69.5963	55.4464	0.04987411	2.012232	0.7469405	0.324458	0.0003402239	4.121622	0.5085438	0.6703532	0.799576	0.7801592
AE_E	41	654.6829	652.722	1.960976	1825.244	1836.339	11.09512	54.12552	49.96301	111.5065	123.823	17.59813	60.26062	1.960976	17.70579	-11.09512	59.96621	12.19512	12.84513	37.08537	48.08761	0.8650794	0.1704627	0.6710086	-0.4263524	0.4823338	0.7091675	0.243118	-1.184725	0.9452407	0.8752723
AH_E	27	675.3704	651.937	23.43333	1299.37	1294.607	4.762963	42.02485	46.9226	137.7361	132.8727	32.16398	47.97448	23.43333	22.4515	4.762963	48.64682	24.09259	21.71481	35.74074	32.61196	0.0587515	1.933037	0.8976049	0.1293189	1.103254e-05	5.423386	0.6152175	0.5087502	0.8782701	0.9359922
AA_E	36	780.6667	761.225	19.44167	1462.611	1467.906	5.294444	54.87544	63.576	122.1073	156.7617	30.88221	54.52295	19.44167	24.33479	-5.294444	55.03504	21.98611	21.99453	40.42778	37.10237	0.1693407	1.388964	0.8734738	-0.159867	2.98844e-05	4.793549	0.5674936	-0.577208	0.9259791	0.9522528
UW_E	12	437.4167	446.3	8.883333	1451.667	1555.233	103.5667	44.90689	48.0157	290.5147	298.6885	40.73702	165.7302	-8.883333	41.52447	-103.5667	135.1381	27.06667	31.79881	127.3167	110.8167	0.644354	-0.4680771	0.3985154	-0.8610309	0.4741714	-0.7410756	0.02239343	-2.654806	0.6024051	0.8951551
EH_E	25	687.24	664.016	23.224	1635.64	1652.12	16.48	52.80489	53.83149	78.51957	100.4267	39.36106	60.42907	23.224	32.43485	-16.48	59.33733	26.904	29.3234	39.368	46.79112	0.1301508	1.539914	0.5212893	-0.6463819	0.001510519	3.5801	0.1776871	-1.388671	0.8151379	0.8071771
OY_N	2	680	694.55	14.55	982	1159.45	177.45	28.28427	39.66869	176.7767	365.6449	50.20463	222.0903	-14.55	67.95296	-177.45	188.8682	48.05	20.57681	177.45	188.8682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AE_N	18	616.8333	608.4111	8.422222	2003.167	2006.128	2.961111	45.5118	47.36917	81.85586	112.0621	23.93707	67.26694	8.422222	23.05606	-2.961111	69.15002	17.97778	16.26272	48.81667	47.62102	0.5900264	0.5439568	0.928448	-0.0905278	0.1396029	1.549808	0.8579853	-0.1816765	0.8775122	0.7890913
